208.0,12305.56,11722.22,-1.38,3.85,26.019
210.0,12311.11,11744.44,-1.42,3.49,24.916
212.0,12316.67,11766.67,-1.58,3.56,25.139
214.0,12322.22,11788.89,-1.758,3.77,25.783
216.0,12327.78,11811.11,-1.4,3.31,24.321
218.0,12333.33,11833.33,-1.56,3.39,24.589
220.0,12338.89,11855.56,-1.14,3.58,25.202
222.0,12344.44,11877.78,-1.19,3.26,24.15
224.0,12350.0,11900.0,-1.2,3.05,23.401
226.0,12384.71,11952.94,-1.5,3.09,23.548
228.0,12419.41,12005.88,-1.74,3.31,24.321
230.0,12454.12,12058.82,-1.4,3.38,24.556
232.0,12488.82,12111.76,-1.55,3.64,25.388
234.0,12523.53,12164.71,-1.26,3.59,25.233
236.0,12558.24,12217.65,-1.34,3.27,24.184
238.0,12592.94,12270.59,-1.1,3.72,25.633
240.0,12627.65,12323.53,-1.09,3.69,25.542
242.0,12662.35,12376.47,-1.17,3.58,25.202
244.0,12697.06,12429.41,-1.14,3.31,24.321
246.0,12731.76,12482.35,-1.08,3.14,23.728
248.0,12766.47,12535.29,-1.56,3.38,24.556
250.0,12801.18,12588.24,-1.3,3.54,25.075
252.0,12835.88,12641.18,-1.47,3.76,25.753
254.0,12870.59,12694.12,-1.126,3.48,24.883
256.0,12905.29,12747.06,-1.177,3.3,24.287
258.0,12940.0,12800.0,-1.08,3.43,24.721
260.0,12989.33,12834.67,-1.1,3.32,24.354
262.0,13038.67,12869.33,-1.26,3.16,23.8
264.0,13088.0,12904.0,-1.31,3.6,25.264
266.0,13137.33,12938.67,-1.12,3.42,24.688
268.0,13186.67,12973.33,-1.55,3.39,24.589
270.0,13236.0,13008.0,-1.334,3.64,25.388
272.0,13285.33,13042.67,-1.44,3.48,24.883
274.0,13334.67,13077.33,-1.25,3.82,25.931
276.0,13384.0,13112.0,-1.31,3.37,24.522
278.0,13433.33,13146.67,-1.34,3.2,23.941
280.0,13482.67,13181.33,-1.55,3.77,25.783
282.0,13532.0,13216.0,-1.784,4.0,26.448
284.0,13581.33,13250.67,-1.39,3.71,25.602
286.0,13630.67,13285.33,-1.313,3.65,25.419
288.0,13680.0,13320.0,-1.008,3.7,25.572
290.0,13724.71,13360.0,-0.94,3.56,25.139
292.0,13769.41,13400.0,-1.044,3.66,25.45
294.0,13814.12,13440.0,-0.92,3.53,25.044
296.0,13858.82,13480.0,-1.38,3.88,26.106
298.0,13903.53,13520.0,-0.98,4.08,26.671
300.0,13948.24,13560.0,-1.05,3.67,25.481
302.0,13992.94,13600.0,-0.96,3.4,24.622
304.0,14037.65,13640.0,-0.77,3.31,24.321
306.0,14082.35,13680.0,-0.99,3.59,25.233
308.0,14127.06,13720.0,-1.173,3.5,24.948
310.0,14171.76,13760.0,-1.188,3.47,24.851
312.0,14216.47,13800.0,-1.534,3.57,25.17
314.0,14261.18,13840.0,-1.465,3.48,24.883
316.0,14305.88,13880.0,-1.648,3.65,25.419
318.0,14350.59,13920.0,-1.15,3.5,24.948
320.0,14395.29,13960.0,-1.38,3.44,24.753
322.0,14440.0,14000.0,-1.551,3.67,25.481
324.0,14498.46,14067.69,-1.559,3.64,25.388
326.0,14556.92,14135.38,-0.82,3.54,25.075
328.0,14615.38,14203.08,-0.78,3.28,24.218
330.0,14673.85,14270.77,-1.074,3.1,23.584
332.0,14732.31,14338.46,-1.31,3.23,24.046
334.0,14790.77,14406.15,-0.81,3.39,24.589
336.0,14849.23,14473.85,-1.03,3.54,25.075
338.0,14907.69,14541.54,-0.72,3.38,24.556
340.0,14966.15,14609.23,-0.657,3.45,24.786
342.0,15024.62,14676.92,-0.63,3.42,24.688
344.0,15083.08,14744.62,-0.9,3.3,24.287
346.0,15141.54,14812.31,-0.89,3.16,23.8
348.0,15200.0,14880.0,-0.73,3.09,23.548
350.0,15240.0,14911.67,-0.59,3.23,24.046
352.0,15280.0,14943.33,-0.82,3.12,23.656
354.0,15320.0,14975.0,-0.692,3.14,23.728
356.0,15360.0,15006.67,-0.86,2.99,23.178
358.0,15400.0,15038.33,-0.65,3.11,23.62
360.0,15440.0,15070.0,-0.59,3.26,24.15
362.0,15480.0,15101.67,-0.53,3.22,24.011
364.0,15520.0,15133.33,-0.6,2.94,22.989
366.0,15560.0,15165.0,-0.49,2.8,22.44
368.0,15600.0,15196.67,-0.57,3.2,23.941
370.0,15640.0,15228.33,-0.52,3.04,23.365
372.0,15680.0,15260.0,-0.45,3.2,23.941
374.0,15744.44,15323.61,-0.31,3.12,23.656
376.0,15808.89,15387.22,-0.37,2.81,22.481
378.0,15873.33,15450.83,-0.62,3.03,23.327
380.0,15937.78,15514.44,-0.56,3.02,23.29
