Author,Archives
Veronica Willmott,marine sediment(3)
Hans Renssen,marine sediment(1)
Jérôme Bonnin,marine sediment(1)
Peer Helmke,marine sediment(1)
David W. Lea,marine sediment(5)
Cornelia Glatz,marine sediment(1)
Qianyu Li,marine sediment(1)
Olivier Marchal,marine sediment(1)
Isabel Cacho,marine sediment(2)
Thomas F. Stocker,marine sediment(1)
Eva Calvo,marine sediment(1)
Belen Martrat,marine sediment(1)
Maryline Vautravers,marine sediment(1)
Elsa Cortijo,marine sediment(2)
Carin Andersson,marine sediment(1)
Nalan Koç,marine sediment(1)
Mark Chapman,marine sediment(1)
Laura Sbaffi,marine sediment(1)
Jean-Claude Duplessy,marine sediment(1)
Michael Sarnthein,marine sediment(3)
Jean-Louis Turon,marine sediment(1)
Josette Duprat,marine sediment(2)
Eystein Jansen,marine sediment(1)
Miquel Canals,marine sediment(1)
Francisco J. Sierro,marine sediment(1)
José Abel Flores,marine sediment(1)
Julene P. Marr,marine sediment(1)
Lionel Carter,marine sediment(1)
Helen C. Bostock,marine sediment(1)
Annette Bolton,marine sediment(1)
Euan Smith,marine sediment(1)
Katharina Pahnke,marine sediment(1)
Julian P. Sachs,marine sediment(1)
Camille Levi,marine sediment(1)
Laurent Labeyrie,marine sediment(1)
Franck Bassinot,marine sediment(1)
François Guichard,marine sediment(1)
Claire Waelbroeck,marine sediment(1)
Nicolas Caillon,marine sediment(1)
Thibault De Garidel-Thoron,marine sediment(1)
Harry Elderfield,marine sediment(1)
L.D. Stott,marine sediment(3)
K.G. Cannariato,marine sediment(2)
R.C. Thunell,marine sediment(3)
G.H. Haug,marine sediment(2)
A. Koutavas,marine sediment(2)
Sun,"marine sediment(2),coral(1)"
D. Khider,"marine sediment(1),h(1)"
C.S. Jackson,marine sediment(1)
H. M. Benway,marine sediment(1)
A. C. Mix,marine sediment(1)
B. A. Haley,marine sediment(1)
G. P. Klinkhammer,marine sediment(1)
Druffel,coral(1)
Ocean2K,coral(51)
V. Nieto-Moreno,marine sediment(2)
J. García-Orellana,marine sediment(2)
P. Masqué,marine sediment(2)
Delong,coral(2)
Heiss,coral(2)
Draschba,coral(2)
Nathalie F. Goodkin,coral(1)
Swart,coral(2)
Christopher S. Moses,coral(3)
Charles,coral(5)
Cooper,coral(6)
H.V. Mcgregor,marine sediment(1)
M. Dima,marine sediment(1)
H.W. Fischer,marine sediment(1)
D.E. Black,marine sediment(1)
M.A. Abahazi,marine sediment(1)
A. Kaplan,marine sediment(1)
E. Tappa,marine sediment(1)
L.C. Peterson,marine sediment(2)
Dorothy K. Pak,marine sediment(2)
K.A. Hughen,marine sediment(2)
Wu,coral(4)
Linsley,coral(3)
Carlos And Cacho,"coral(1),marine sediment(1)"
Asami,coral(1)
J.N. Richey,marine sediment(1)
R.Z. Poore,marine sediment(1)
B.P. Flower,marine sediment(1)
T.M. Quinn,"marine sediment(1),coral(1)"
Hollander D.J.,marine sediment(1)
Wei,coral(1)
Ocean2K Saenger,coral(1)
Stephan Hetzinger,coral(2)
Wanamaker,bivalve(1)
H.C Wu,coral(1)
Kuhnert,coral(2)
Zinke,coral(7)
J. Sepúlveda,marine sediment(1)
S. Pantoja,marine sediment(1)
S. Bertrand,marine sediment(1)
D. Figueroa,marine sediment(1)
T. León,marine sediment(1)
N.J. Drenzek,marine sediment(1)
C. Lange,marine sediment(1)
Evans,coral(1)
Tudhope,coral(3)
Damassa,coral(1)
Urban,coral(1)
Cole,coral(2)
Nakamura,coral(1)
Kilbourne,coral(2)
A. Newton,marine sediment(2)
R. Thunell,marine sediment(2)
L. Stott,marine sediment(1)
L. Scott,marine sediment(1)
Abram,coral(1)
Ana And Pérez Moreno,marine sediment(1)
Ana And Frigola,marine sediment(1)
Jaime And Nieto-Moreno,marine sediment(1)
Vanesa And Rodrigo-Gámiz,marine sediment(1)
Marta And Martrat,marine sediment(1)
Belén And González-Sampériz,marine sediment(1)
Penélope And Morellón,marine sediment(1)
Mario And Martín-Puertas,marine sediment(1)
Celia And Corella,marine sediment(1)
