authorName,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
Kerstin Treydte,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Keith R. Briffa,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,deep.temp,degC
Trevor J. Porter,GroundIce,Dd,permil,NA,Air Surface,uncertainty temperature1,degC
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
G. Chu,LakeSediment,Core,NA,NA,NA,NA,NA
X. Chenxi,Wood,D18O,permil,Precipitation And Evaporation,Na,Na Precipitation And Evaporation,NA
C. A. Woodhouse,Wood,Sample Count,count,NA,NA,NA,NA
Brendan M. Buckley,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Francisco Jiménez-Espejo,MarineSediment,Notes,NA,NA,NA,NA,NA
NA,MarineSediment,Total Organic Carbon,percent,NA,NA,NA,NA
Jens Zinke,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
P.D. Jones,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
R. J. S. Wilson,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
S. Hetzinger,Coral,D18O,permil,D18O Seawater,Sea Surface,Sea Surface D18O Seawater,NA
Rosanne D'Arrigo,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
Rosanne D'Arrigo,Wood,Tree Ring Width,cm,NA,NA,NA,NA
Stephen T. Jackson,LakeSediment,MBT,NA,NA,NA,soilTemp,degC
Edward R. Cook,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
F. Abrantes,MarineSediment,NA,m,NA,NA,NA,NA
Teresa R. Krause,LakeSediment,Brgdgt,peak area,NA,NA,NA,NA
Nicolas David Greber,LakeSediment,Biogenic Silica,mg/cm2/yr,NA,NA,Temperature,degC
D.A. Graybill,Wood,Residual,NA,NA,NA,NA,NA
Rf Denniston,Speleothem,D18O,permil,Precipitation Isotope,Na,Na Precipitation Isotope,NA
S. T. Gray,Wood,Segment,NA,NA,NA,NA,NA
Eric J. Steig,GroundIce,D18O,permil,NA,Na,uncertainty temperature1,degC
NA,MarineSediment,D18O,permil PDB,NA,NA,DBD,g/cm3
NA,Wood,D18O,permil,Precipitation Isotope,Na,Na Precipitation Isotope,NA
Takeshi Nakatsuka,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Brian H Luckman,Wood,Core,NA,NA,NA,NA,NA
Min Zheng,Peat,NA,cm,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
B. Stenni,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
Alexey Kaplan,Coral,D18O,permil,NA,Sea Surface,NA,NA
Lauren J. Davies,Ice-other,D-Excess,permil,NA,NA,temperature1,degC
Gregory C. Wiles,Wood,Residual,NA,NA,NA,NA,NA
Keith R. Briffa,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
G. Wiles,Wood,Residual,NA,NA,NA,NA,NA
Edward R. Cook,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Keith R. Briffa,Wood,Tree Ring Width,cm,NA,NA,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
Martin Kölling,Peat,NA,NA,NA,NA,Year,AD
Gordon Jacoby,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
