authorName,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
Steig,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Air Surface Precipitation Isotope,NA
Takeshi Nakatsuka,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Tebke B̦Schen,MarineSediment,D18O,permil,NA,NA,Temperature,degC
Spruce W. Schoenemann,GroundIce,D18O,permil,NA,Na,temperature1,degC
Lucien Von Gunten,LakeSediment,Biogenic Silica,mg/cm2/yr,NA,NA,NA,NA
Sallie I. Whitlow,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
Roberto Urrutia,LakeSediment,NA,mm,NA,NA,uncertainty_temperature,degC
Bohleber,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
J.C. King,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
NA,MarineSediment,Foraminifera Abundance,percent,NA,NA,NA,NA
Scott St George,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
Jouzel,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Air Surface Precipitation Isotope,NA
Trevor J. Porter,Ice-other,D-Excess,permil,NA,NA,temperature1,degC
Casey Saenger,MarineSediment,Mg/Ca,NA,NA,NA,NA,NA
S. Falourd,Peat,NA,NA,NA,NA,Temperature,degC
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
O. N. Solomina,Hybrid,Tree Ring Standardized Growth Index,NA,NA,NA,Temperature,degC
W. E. Wright,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
P. Moffasanchez,MarineSediment,D18O,permil,Seawater Isotope,Subsurface,Subsurface Seawater Isotope,NA
William R. Howard,MarineSediment,D18O,permil,NA,NA,uncertainty.temperature,degC
Keith R. Briffa,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
Elisabeth L. Sikes,MarineSediment,D13C,permil,NA,NA,uncertainty.temperature,degC
S. Mulitza,MarineSediment,Notes,NA,NA,NA,NA,NA
J. L. Betancourt,Wood,Residual,NA,NA,NA,NA,NA
V Nicola  Ev,GlacierIce,NA,m,NA,NA,NA,NA
D.W. Peterson,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
B. H. Luckman,Wood,Corrs,NA,NA,NA,NA,NA
M. Frezzotti,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
Pavla Fenwick,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Teresa R. Krause,LakeSediment,CBT,NA,NA,NA,NA,NA
Kevin J. Anchukaitis,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
NA,MarineSediment,Total Organic Carbon,percent,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
J. Chappellaz,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
K. Werner,MarineSediment,D18O,permil,Water Temperature,Sub Surface,Sub Surface Water Temperature,NA
Gerard M. Wellington,Coral,D13C,permil,NA,NA,NA,NA
Swart,Coral,D18O,permil,D18O Seawater,Sea Surface,Sea Surface D18O Seawater,NA
Keith R. Briffa,Wood,Corrs,NA,NA,NA,NA,NA
H. Gebhardt,MarineSediment,NA,cm,NA,NA,NA,NA
Joan J. Fitzpatrick,GlacierIce,NA,m,NA,NA,Temperature,degC
Teresa R. Krause,LakeSediment,Brgdgt,peak area,NA,NA,Temperature,degC
NA,MarineSediment,Foraminifera Abundance,counts,NA,NA,NA,NA
Paul J. Krusic,Wood,Density,NA,NA,Air Surface,NA,NA
Rosanne D'Arrigo,Wood,NA,NA,NA,NA,NA,NA
NA,MarineSediment,Uk37,NA,NA,NA,NA,NA
P. Moffasanchez,MarineSediment,D18O,permil,Water Temperature,Na,Na Water Temperature,NA
H.V. Mcgregor,Coral,D18O,permil,D18O Seawater,Sea Surface,Sea Surface D18O Seawater,NA
B. Luckman,Wood,Segment,NA,NA,NA,NA,NA
Thomas A. Neumann,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
P.- N. Lin,GlacierIce,K,ppb,NA,NA,NA,NA
Daniel G. Gavin,Wood,Sample Count,count,NA,NA,NA,NA
Takeshi Nakatsuka,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Kevin J. Anchukaitis,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
C. Scarchilli,GlacierIce,Dd,permil,NA,NA,NA,NA
R. R̦Thlisberger,GlacierIce,NA,m,NA,NA,NA,NA
F. Biondi,Wood,Segment,NA,NA,NA,NA,NA
K. Gajewski,LakeSediment,Precipitation,mm,NA,Surface,Temperature,degC
Andrew S. Cohen,LakeSediment,TEX86,degC,NA,NA,NA,NA
Parker E. Calkin,Wood,Segment,NA,NA,NA,NA,NA
Ana-Voica Bojar,Speleothem,D13C,permil,NA,NA,NA,NA
G. C. Jacoby,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
M. Schulz,Peat,NA,NA,NA,NA,Temperature,degC
T. F. Cooper,Coral,Calcification,g/cm/yr,NA,NA,NA,NA
Sasiri Bandara,Ice-other,D18O,permil,NA,NA,uncertainty temperature1,degC
E. Mosley-Thompson,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
M.K. Hughes,Wood,NA,NA,NA,NA,NA,NA
Eugene A. Vaganov,Wood,Arstan Chronology,NA,NA,NA,NA,NA
Gordon C. Jacoby,Wood,Sample Count,count,NA,NA,NA,NA
Brian H Luckman,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
NA,MarineSediment,Dry Bulk Density,g/cm3,NA,NA,surface.temp,degC
Keith R. Briffa,Wood,NA,NA,NA,NA,NA,NA
Christof Bigler,Wood,Tree Ring Width,cm,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
Kevin J. Anchukaitis,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Peter Isdale,Coral,D18O,permil,NA,Sea Surface,NA,NA
M. E. Davis,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Air Surface Precipitation Isotope,NA
T. F. Cooper,Coral,Calcification,g/cm/yr,NA,NA,NA,NA
Lloyd D. Keigwin,MarineSediment,Mg/Ca,NA,NA,NA,Temperature,degC
NA,MarineSediment,Ice-Rafted Debris,no/g,NA,NA,surface.temp,degC
B.M. Vinther,Peat,NA,NA,NA,NA,uncertainty.temperature,degC
Jeroen Groeneveld,MarineSediment,Mg/Ca,mmol/mol,NA,NA,NA,NA
Katrina A. Moser,LakeSediment,NA,cm,NA,NA,NA,NA
B. Minster,GlacierIce,NA,m,NA,NA,Temperature,degC
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
NA,MarineSediment,Mg/Ca,mmol/mol,NA,NA,surface.temp,degC
Matthias H. Braun,Wood,D18O,permil,NA,Na,NA,NA
M. N. Evans,Wood,D18O,permil,Precipitation Amount,Na,Na Precipitation Amount,NA
Aifeng Zhou,LakeSediment,NA,cm,NA,NA,NA,NA
G. C. Jacoby,Wood,Arstan Chronology,NA,NA,NA,NA,NA
Jason P. Briner,LakeSediment,Layer Thickness,mm,NA,Air Surface,NA,NA
P. Moffasanchez,MarineSediment,D18O,permil,Carbonate Ion Concentration,Subsurface,Subsurface Carbonate Ion Concentration,NA
Spruce W. Schoenemann,Ice-other,NA,cm,NA,NA,temperature1,degC
S. Mischke,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Lake Water Precipitation And Evaporation,NA
C Santos,Peat,NA,NA,NA,NA,Temperature,degC
L. Thompson,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
Braddock K. Linsley,Coral,Sr/Ca,mmol/mol,NA,Sea Surface,NA,NA
Brendan M. Buckley,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Fidel Gonz�Lez-Rouco,Wood,Tree Ring Standardized Growth Index,NA,NA,Na,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
John M. Fegyveresi,GlacierIce,Bubblenumberdensity,bubbles/cm3,NA,NA,tempError,degC
NA,MarineSediment,Mg/Ca,mmol/mol,NA,NA,surface.temp,degC
D. W. Lea,MarineSediment,Notes,NA,NA,NA,NA,NA
S.J. Phipps,MarineSediment,NA,cm,NA,NA,NA,NA
Ralph Schneider,MarineSediment,D18O,permil,NA,NA,NA,NA
Keith R. Briffa,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
Brian H Luckman,Wood,NA,NA,NA,NA,NA,NA
M. Lindholm,Wood,Maximum Latewood Density,NA,NA,Air Surface,NA,NA
V. Ersek,MarineSediment,NA,cm,NA,NA,Temperature,degC
Takeshi Nakatsuka,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Eric J. Steig,Ice-other,D-Excess,permil,NA,NA,uncertainty temperature1,degC
Marcel Küttel,GlacierIce,Dd,permil,NA,Air Condensationlevel,NA,NA
Spruce W. Schoenemann,Ice-other,NA,cm,NA,NA,uncertainty temperature1,degC
Kevin J. Anchukaitis,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
Fritz H. Schweingruber,Wood,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
NA,MarineSediment,Mg/Ca,mmol/mol,NA,NA,NA,NA
F.T. Gibbons,MarineSediment,Mg/Ca,mmol/mol,NA,NA,Temperature,degC
F. Biondi,Wood,Core,NA,NA,NA,NA,NA
Keith R. Briffa,Wood,Tree Ring Width,cm,NA,NA,NA,NA
V. Ciardini,GlacierIce,D-Excess,permil,NA,NA,NA,NA
Kevin J. Anchukaitis,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
J. S. Littell,Wood,NA,NA,NA,NA,NA,NA
C. A. Woodhouse,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
Fritz H. Schweingruber,Wood,Tree Ring Width,cm,NA,NA,NA,NA
Heidi Doose-Rolinski,Peat,NA,NA,NA,NA,Temperature,degC
S.J. Johnsen,Peat,NA,NA,NA,NA,Temperature,degC
Anne Verstege,Wood,NA,NA,NA,NA,NA,NA
James M. Russell,LakeSediment,BIT,NA,NA,NA,NA,NA
Tebke B̦Schen,MarineSediment,D18O,permil,NA,NA,Temperature,degC
Silviu Constantin,Speleothem,D13C,permil,NA,NA,NA,NA
J. F. Bolzan,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
W. Tinner,LakeSediment,NA,cm,NA,NA,NA,NA
Lauren J. Davies,GroundIce,NA,cm,NA,NA,NA,NA
Jarmila Macková,Peat,NA,NA,NA,NA,Temperature,degC
John M. Fegyveresi,GlacierIce,NA,bubbles/cm3,NA,NA,ageUncertainty,yr
Brendan M. Buckley,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
P.G. Mortyn,MarineSediment,Mg/Ca,NA,NA,NA,NA,NA
J. R. Petit,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
R. A. O'Leary,Coral,Calcification,g/cm/yr,NA,NA,NA,NA
Brendan M. Buckley,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Kevin J. Anchukaitis,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Luc Beaufort,MarineSediment,D18O,permil,NA,NA,Temperature,degC
Andrew G. Bunn,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
A.W. Tudhope,Coral,D18O,permil,D18O Seawater,Sea Surface,Sea Surface D18O Seawater,NA
Gerhard Schleser,Wood,D18O,permil,NA,Na,NA,NA
Gordon Jacoby,Wood,NA,NA,NA,NA,NA,NA
S. T. Gray,Wood,Sample Count,count,NA,NA,NA,NA
Trevor J. Porter,Ice-other,D-Excess,permil,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
Terrence M. Quinn,MarineSediment,Mg/Ca,NA,NA,NA,Temperature,degC
Harold C. Fritts,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
Gordon Jacoby,Wood,Density,g/cm3,NA,NA,NA,NA
Nicole K Davi,Wood,Arstan Chronology,NA,NA,NA,NA,NA
P.Ø. Nordli,Documents,Julian Day,days,NA,NA,Temperature,degC
Andrew G. Bunn,Wood,Residual,NA,NA,NA,NA,NA
Veronica Willmott,MarineSediment,TEX86,unitless,NA,NA,Subsurface Temperature,degC
Keith R. Briffa,Wood,Sample Count,count,NA,NA,NA,NA
David J. Lowe,LakeSediment,NA,cm,NA,NA,NA,NA
Keith R. Briffa,Wood,NA,NA,NA,NA,NA,NA
NA,MarineSediment,Total Organic Carbon,percent,NA,NA,surface.temp,degC
Keith R. Briffa,Wood,Core,NA,NA,NA,NA,NA
M. C. Salvatore,GlacierIce,Dd,permil,NA,NA,NA,NA
Julie Elbert,Wood,Tree Ring Standardized Growth Index,NA,NA,Na,NA,NA
Terrence M. Quinn,Coral,Sr/Ca,mmol/mol,NA,Sea Surface,NA,NA
John W. Williams,LakeSediment,Brgdgt,peak area,NA,NA,pH,pH
Keith R. Briffa,Wood,Segment,NA,NA,NA,NA,NA
Rosanne D’Arrigo,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
G. T. Pederson,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
R. R̦Thlisberger,Peat,NA,NA,NA,NA,Temperature,degC
Eugene A. Vaganov,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Jingwei Cui,Speleothem,RAN15,NA,NA,NA,Temperature,degC
Tessa Vance,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Keith R. Briffa,Wood,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
Chi-Yue Huang,MarineSediment,Uk37,NA,NA,NA,Temperature,degC
Peer Helmke,MarineSediment,NA,m,NA,NA,Subsurface Temperature,degC
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
Fritz H. Schweingruber,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
R. J. S. Wilson,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
James M. Russell,LakeSediment,Brgdgt,peak area,NA,NA,soilTemp,degC
C Hu,Speleothem,D18O,permil,NA,Na,NA,NA
Pages 2K Consortium,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
Scott St George,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
Keith R. Briffa,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Jaap S. Sinninghe Damst̩,LakeSediment,BIT,unitless,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
Nicholas P. Mckay,LakeSediment,Duration,AD,NA,NA,NA,NA
NA,MarineSediment,37:2Alkenoneconcentration,ng/g,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
A. Newton,MarineSediment,NA,cm,NA,NA,NA,NA
H. Håkan Grudd,Wood,Tree Ring Width,NA,NA,NA,NA,NA
NA,MarineSediment,Foraminifera Abundance,percent,NA,NA,surface.temp,degC
Eugene A. Vaganov,Wood,Segment,NA,NA,NA,NA,NA
M.K. Hughes,Wood,Segment,NA,NA,NA,NA,NA
Ralph Schneider,MarineSediment,D13C,permil,NA,NA,NA,NA
Natacha Meyer,LakeSediment,NA,degC,NA,NA,Temperature,degC
B. H. Luckman,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
Jürgen Pätzold,Coral,D18O,permil,NA,Sea Surface,NA,NA
Brian H. Luckman,Wood,NA,NA,NA,NA,NA,NA
Stichler,GlacierIce,D-Excess,permil,Precipitation Isotope,Na,Na Precipitation Isotope,NA
R. J. S. Wilson,Wood,Tree Ring Width,cm,NA,NA,NA,NA
Elisabeth L. Sikes,MarineSediment,D18O,permil,NA,NA,uncertainty.temperature,degC
Teresa R. Krause,LakeSediment,Brgdgt,peak area,NA,NA,soilTemp,degC
NA,MarineSediment,Mg/Ca,mmol/mol,NA,NA,surface.temp,degC
Donald K. Youngblut,Wood,Arstan Chronology,NA,NA,NA,NA,NA
Takeshi Nakatsuka,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Vinther,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
Rosanne D'Arrigo,Wood,Core,NA,NA,NA,NA,NA
J.C. King,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
Scott St George,Wood,Tree Ring Width,cm,NA,NA,NA,NA
Graf,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
NA,MarineSediment,Dry Bulk Density,g/cm3,NA,NA,NA,NA
A. Lloyd,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
K. Saunders,LakeSediment,Trough Area Between 650 And 700 Nm Wavelength,NA,NA,Surface,NA,NA
Erika Mashig,Wood,Segment,NA,NA,NA,NA,NA
D. Isono,Peat,NA,NA,NA,NA,Temperature,degC
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp.error,degC
Matthew W. Salzer,Wood,Arstan Chronology,NA,NA,NA,NA,NA
V. Ciardini,GlacierIce,D18O,permil,NA,Air Condensation,NA,NA
Jp Bernal,Speleothem,NA,cm,NA,NA,NA,NA
Liping Zhou,Peat,NA,NA,NA,NA,Temperature,degC
I Voigt,MarineSediment,D18O,permil,Carbonate Ion Concentration,Na,D18O,permil
Brian H Luckman,Wood,NA,NA,NA,NA,NA,NA
M. E. Davis,GlacierIce,Cl,ppb,NA,NA,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
NA,MarineSediment,Caco3,percent,NA,NA,surface.temp,degC
Jesper A. Björklund,Wood,Density,NA,NA,Air Surface,NA,NA
Andrew D. Moy,Wood,Tree Ring Standardized Growth Index,NA,NA,Na,NA,NA
L. J. Graumlich,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
Masaki Sano,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
V. Gkinis,Peat,NA,NA,NA,NA,Temperature,degC
A.G. Bunn,Wood,Corrs,NA,NA,NA,NA,NA
Jaap S. Sinninghe Damst̩,Peat,NA,NA,NA,NA,Temperature,degC
NA,Wood,D18O,permil,Precipitation Isotope,Na,Na Precipitation Isotope,NA
Benjamin F. Clegg,Peat,NA,NA,NA,NA,Temperature,degC
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
Lauren J. Davies,Ice-other,NA,cm,NA,NA,NA,NA
Fritz H. Schweingruber,Wood,NA,NA,NA,NA,NA,NA
Kevin K _Ssner,MarineSediment,D13C,permil,NA,NA,NA,NA
John W. Williams,LakeSediment,Brgdgt,peak area,NA,NA,soilTemp,degC
M. Sano,Wood,D18O,permil,Pdsi,Na,Year,AD
NA,MarineSediment,Biogenic Silica,percent,NA,NA,surface.temp,degC
J.E. Cole,Coral,D18O,permil,D18O Seawater,Sea Surface,Sea Surface D18O Seawater,NA
K. Tedesco,MarineSediment,D18O,permil,Water Temperature,Surface Mixed Layer,Surface Mixed Layer Water Temperature,NA
Brendan M. Buckley,Wood,NA,NA,NA,NA,NA,NA
P.- N. Lin,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
Bo M. Vinther,GlacierIce,Ice Melt,percent,NA,Na,meltUncertaintyHigh,percent
D.A. Graybill,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
R. Quinlan,Peat,NA,NA,NA,NA,Temperature,degC
Keith R. Briffa,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
Gordon Jacoby,Wood,Sample Count,count,NA,NA,NA,NA
D.A. Graybill,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
L. Wang,MarineSediment,D18O,permil,Carbonate Ion Concentration,Sea Surface,Sea Surface Carbonate Ion Concentration,NA
B. Luckman,Wood,Corrs,NA,NA,NA,NA,NA
K. Kaiser,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
D.A. Graybill,Wood,Core,NA,NA,NA,NA,NA
Miriam Pfeiffer,Coral,D18O,permil,NA,Sea Surface,NA,NA
Keith R. Briffa,Wood,NA,NA,NA,NA,NA,NA
J. Halfar,Coral,D18O,permil,NA,Sea Surface,NA,NA
Hongbin Zhang,Speleothem,RAN15,NA,NA,NA,Temperature,degC
Jeannine-Marie St. Jacques,LakeSediment,Effective Moisture,cm,NA,Eff,Temperature,degC
David Frank,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
Alastair G. Dawson,MarineSediment,NA,m,NA,NA,NA,NA
J.A. Addison,MarineSediment,NA,cm,NA,NA,Temperature,degC
Erika Mashig,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
J. L. Betancourt,Wood,NA,NA,NA,NA,NA,NA
Paul J. Krusic,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Druffel,Coral,D18O,permil,D18O Seawater,Sea Surface,Sea Surface D18O Seawater,NA
Fidel González-Rouco,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
E. Selmo,GlacierIce,NA,m,NA,NA,Temperature,degC
Christoph Schneider,Wood,D18O,permil,Precipitation Isotope,Na,Na Precipitation Isotope,NA
T. Thorsteinnson,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
Kevin J. Anchukaitis,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Kaczmarska,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Air Surface Precipitation Isotope,NA
NA,MarineSediment,37:2Alkenoneconcentration,ng/g,NA,NA,surface.temp,degC
Shannon E. Loomis,LakeSediment,NA,cm,NA,NA,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
M. Cook,MarineSediment,NA,cm,NA,NA,NA,NA
A.W. Clemens,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
G. C. Jacoby,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Rob Wilson,Wood,Arstan Chronology,NA,NA,NA,NA,NA
R. D'Arrigo,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
A.N. Dalgleish,Coral,D18O,permil,NA,Sea Surface,NA,NA
Brendan M. Buckley,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Vinther,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Air Surface Precipitation Isotope,NA
B. H. Luckman,Wood,Sample Count,count,NA,NA,NA,NA
Ailie J. E. Gallant,GlacierIce,Dd,permil,NA,Air Condensationlevel,NA,NA
Paul J. Krusic,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Nicholas P. Mckay,LakeSediment,Biogenic Silica,mg/g,NA,NA,Temperature,degC
Yongqiang Zong,Peat,NA,NA,NA,NA,Temperature,degC
M. Kenigsberg,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
Elfi Mollier-Vogel,MarineSediment,D18O,permil,NA,NA,Temperature,degC
M. Stuiver,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
Gordon C. Jacoby,Wood,Segment,NA,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
Thomas,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Air Surface Precipitation Isotope,NA
Brian H Luckman,Wood,Segment,NA,NA,NA,NA,NA
M.E. Colenutt,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
Scott St George,Wood,Residual,NA,NA,NA,NA,NA
J. S. Sinninghe Damst̩,Peat,NA,NA,NA,NA,smoothedTemp,degC
Konrad Hughen,MarineSediment,Mode Grain Size,microm,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
Dirk N _Rnberg,MarineSediment,Mg/Ca,mmol/mol,NA,NA,Temperature,degC
Rosanne D. D'Arrigo,Wood,Core,NA,NA,NA,NA,NA
Isabel Cacho,MarineSediment,Notes,NA,NA,NA,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
Carsten R _Hlemann,MarineSediment,37:2Alkenoneconcentration,g,NA,NA,NA,NA
Elisabeth L. Sikes,MarineSediment,D18O,permil,NA,NA,Temperature,degC
I Voigt,MarineSediment,D18O,permil,Seawater Isotope,Subsurface  300 400M ,Subsurface  300 400M  Seawater Isotope,NA
NA,MarineSediment,Mg/Ca,mmol/mol,NA,NA,surface.temp,degC
Guillaume Leduc,MarineSediment,NA,cm,NA,NA,Temperature,degC
Takeshi Nakatsuka,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
NA,MarineSediment,Ice-Rafted Debris,no/g,NA,NA,surface.temp,degC
NA,MarineSediment,Mg/Ca,mmol/mol,NA,NA,NA,NA
Pedro Skvarca,Wood,D18O,permil,NA,Na,NA,NA
Carlos Sancho,MarineSediment,Uk37,NA,NA,NA,Temperature,degC
Summer B. Rupper,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
R. D. Darrigo,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Arthur S. Dyke,GlacierIce,Ice Melt,percent,NA,Na,meltUncertaintyLow,percent
Robert J. S. Wilson,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Rui Zhang,LakeSediment,BIT,NA,NA,NA,soilTemp,degC
Brendan M. Buckley,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Andrew D. Moy,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
NA,MarineSediment,D18O,permil,Temperature And D18O Of Seawater,Na,Na Temperature And D18O Of Seawater,NA
Steig,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Air Surface Precipitation Isotope,NA
Kevin J. Anchukaitis,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
E. Mosley-Thompson,GlacierIce,Ca,ppb,NA,NA,NA,NA
Brendan M. Buckley,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
NA,MarineSediment,Dry Bulk Density,g/cm3,NA,NA,NA,NA
Stephan Steinke,MarineSediment,D18O,permil,NA,NA,NA,NA
NA,MarineSediment,Biogenic Silica,percent,NA,NA,deep.temp,degC
Mauri Timonen,Wood,Maximum Latewood Density,NA,NA,Air Surface,NA,NA
NA,MarineSediment,Mg/Ca,mmol/mol,NA,NA,NA,NA
Takeo Hondoh,GlacierIce,Melt,percent,NA,Air Surface,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
Takeshi Nakatsuka,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Neal Michelutti,LakeSediment,Duration,AD,NA,NA,uncertainty_temperature,degC
Weissbach,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
Rui Zhang,LakeSediment,BIT,NA,NA,NA,Temperature,degC
Sarah Steinhauer,Peat,NA,NA,NA,NA,Temperature,degC
