authorName,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
T.D. Herbert,MarineSediment,Uk37,NA,NA,NA,Temperature,degC
R. H. Abu-Zied,LakeSediment,D18O,permil,Water Temperature,Na,Na Water Temperature,NA
H. Bartels-Jónsdóttir,MarineSediment,Uk37,NA,NA,NA,NA,NA
B. H. Luckman,Wood,Tree Ring Width,cm,NA,NA,NA,NA
Keith R. Briffa,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
Ignacio Mundo,Wood,Tree Ring Standardized Growth Index,NA,NA,Na,NA,NA
Isabelle Larocque-Tobler,Peat,NA,NA,NA,NA,Temperature,degC
Christof Bigler,Wood,Core,NA,NA,NA,NA,NA
B. H. Luckman,Wood,Residual,NA,NA,NA,NA,NA
Keith R. Briffa,Wood,NA,NA,NA,NA,NA,NA
Stephanie K. Jarvis,Wood,Corrs,NA,NA,NA,NA,NA
Dierk Hebbeln,MarineSediment,Mg/Ca,mmol/mol,NA,NA,Temperature,degC
R. J. S. Wilson,Wood,Arstan Chronology,NA,NA,NA,NA,NA
H. W. Fischer,MarineSediment,Uk37,NA,NA,NA,Temperature,degC
Louise Fleet,GlacierIce,Dd,permil,NA,NA,NA,NA
B. H. Luckman,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
Keith R. Briffa,Wood,Tree Ring Width,cm,NA,NA,NA,NA
Kevin J. Anchukaitis,Wood,Sample Count,count,NA,NA,NA,NA
K. -B. Liu,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
K. J. Anchukaitis,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
F.J.C. Peeters,MarineSediment,Mg/Ca,NA,NA,NA,Temperature,degC
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
Brendan M. Buckley,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
K. J. Allen,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
M. Sano,Wood,D18O,permil,NA,Na,NA,NA
 F. S.   Ito  E.   Brown  T. A.   Curry  B. B.   Engstrom  D. R. H U,LakeSediment,NA,cm,NA,NA,NA,NA
W. E. Wright,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Thomas T. Veblen,Wood,NA,NA,NA,NA,NA,NA
Tebke B̦Schen,MarineSediment,D18O,permil,NA,NA,NA,NA
Erika Mashig,Wood,Residual,NA,NA,NA,NA,NA
Fritz H. Schweingruber,Wood,Sample Count,count,NA,NA,NA,NA
John J. Clague,Wood,NA,NA,NA,NA,NA,NA
D. Frank,Peat,NA,NA,NA,NA,Temperature,degC
Eric J. Steig,Wood,Tree Ring Standardized Growth Index,NA,NA,Na,NA,NA
Michael K. Gagan,Coral,D18O,permil,NA,Sea Surface,NA,NA
 P.  Cheng  H.  Edwards  R.L.  Chen  F.  Wang  Y.  Yang  X.  Liu  J.  Tan  M.  Wang  X.  Liu  J.  An  C.  Dai  Z.  Zhou  J.  Zhang  D.  Jia  J.  Jin  L.  Johnson  K.R. Z H A N G,Speleothem,D18O,permil,Precipitation Isotope,Na,Na Precipitation Isotope,NA
Kevin J. Anchukaitis,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Kevin C. Nixon,Midden,NA,decimal degrees,NA,NA,temperature1,degC
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
L. J. Graumlich,Wood,Corrs,NA,NA,NA,NA,NA
J.M. Lough,Coral,D18O,permil,D18O Seawater,Sea Surface,Sea Surface D18O Seawater,NA
L.J. Graumlich,Wood,Corrs,NA,NA,NA,NA,NA
NA,MarineSediment,Foraminifera Abundance,percent,NA,NA,NA,NA
Braddock K. Linsley,Coral,D18O,permil,NA,Sea Surface,NA,NA
D. Dahl-Jensen,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
Masaki Sano,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Erika Mashig,Wood,NA,NA,NA,NA,NA,NA
Jaap S. Sinninghe Damst̩,LakeSediment,BIT,unitless,NA,NA,Temperature,degC
D.E. Black,MarineSediment,D18O,permil,Water Temperature,Near Surface,Near Surface Water Temperature,NA
A.P. Ballantyne,Wood,D18O,permil,Precipitation Isotope,Na,Na Precipitation Isotope,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
Jan Esper,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Isla S. Castañeda,LakeSediment,NA,cm,NA,NA,Temperature,degC
Meaghan K. Gorman,Coral,D13C,permil,NA,NA,NA,NA
Kelly Hereid,Coral,D18O,permil,D18O Seawater,Sea Surface,Sea Surface D18O Seawater,NA
Graf,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
S. K. Jarvis,Peat,NA,NA,NA,NA,Temperature,degC
NA,MarineSediment,NA,permil PDB,NA,NA,surface.temp,degC
J. M. Barnola,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
Gangjian Wei,Coral,Sr/Ca,mmol/mol,NA,Sea Surface,NA,NA
M. Dima,Coral,D18O,permil,NA,Sea Surface,NA,NA
Lutz Schirrmeister,Ice-other,D18O,permil,NA,Air Surface,NA,NA
R. D. Darrigo,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Trevor J. Porter,GroundIce,Dd,permil,Precipitation Isotope,Air Surface,Air Surface Precipitation Isotope,NA
L.E. Conkey,Wood,Arstan Chronology,NA,NA,NA,NA,NA
Lauren J. Davies,Ice-other,D18O,permil,NA,NA,uncertainty temperature1,degC
Paul J. Krusic,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Marcus J. Vanderfoes,LakeSediment,NA,cm,NA,NA,NA,NA
Kevin C. Nixon,Midden,NA,m,NA,NA,temperature1,degC
Spruce W. Schoenemann,GroundIce,D18O,permil,Precipitation Isotope,Air Surface,temperature1,degC
V. S. Zagorodnov,GlacierIce,Ca,ppb,NA,NA,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
Rob Wilson,Peat,NA,NA,NA,NA,Temperature,degC
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
 Linda   Mischke  Steffen   Wiechert  Uwe   Leipe  Christian   Rajabov  Ilhomjon   Riedel  Frank T A F T,LakeSediment,D18O,permil,NA,Na,NA,NA
T. Oba,Peat,NA,NA,NA,NA,Temperature,degC
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
Paul J. Krusic,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
M. Jebb,Coral,D18O,permil,Water Temperature,Sea Surface,Sea Surface Water Temperature,NA
John W. Williams,LakeSediment,MBT',NA,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
Paul J. Krusic,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
G. C. Jacoby,Wood,Core,NA,NA,NA,NA,NA
Claude Hillaire-Marcel,Peat,NA,NA,NA,NA,temperatureComposite,degC
H. Motoyama,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
A. Lloyd,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
Kliti Grice,LakeSediment,BIT,unitless,NA,NA,Temperature,degC
S. Draschba,Coral,D18O,permil,NA,Sea Surface,NA,NA
Spruce W. Schoenemann,Ice-other,D-Excess,permil,NA,NA,NA,NA
David J. R. Thornalley,MarineSediment,NA,cm,NA,NA,NA,NA
R. Parish,Wood,Arstan Chronology,NA,NA,NA,NA,NA
J. Moller,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
Fritz H. Schweingruber,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
R. J. S. Wilson,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
M. Kenigsberg,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
R. Udisti,GlacierIce,NA,m,NA,NA,NA,NA
NA,MarineSediment,Caco3,percent,NA,NA,NA,NA
Takeshi Nakatsuka,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Gordon C. Jacoby,Wood,Segment,NA,NA,NA,NA,NA
Philip D. Jones,Wood,NA,NA,NA,NA,NA,NA
B. Martrat,MarineSediment,NA,cm,NA,NA,NA,NA
Takeshi Nakatsuka,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
 N. L.   Dandrea  W. J.   Bradley  R. S.   Perren  B. B. B A L A S C I O,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
David Frank,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Rob Wilson,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
NA,MarineSediment,Ice-Rafted Debris,no/g,NA,NA,NA,NA
Fritz H. Schweingruber,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
B. Stenni,GlacierIce,NA,m,NA,NA,Temperature,degC
Keith R. Briffa,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
D.A. Graybill,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Gerold Wefer,MarineSediment,37:2Alkenoneconcentration,g,NA,NA,Temperature,degC
C. A. Woodhouse,Wood,NA,NA,NA,NA,NA,NA
Michael B. Robblee,Coral,D13C,permil,NA,NA,NA,NA
Stephen S. Howe,Coral,D13C,permil,NA,NA,NA,NA
Shucheng Xie,Peat,NA,cm,NA,NA,NA,NA
Masaki Sano,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
R. Röthlisberger,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
 Sarah J.   Kirby  Matthew E.   Cheetham  Michael I.   Ibarra  Yadira   Zimmerman  Susan R.H. F E A K I N S,LakeSediment,Dd,permil,Precipitation Amount,Na,Na Precipitation Amount,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
C. Ritz,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
Nicholas J. Drenzek,MarineSediment,Uk37,NA,NA,NA,NA,NA
Weissbach,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
Brian H Luckman,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Gordon Jacoby,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
Timothy J. Osborn,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Matthew K. Spencer,GlacierIce,NA,bubbles/cm3,NA,NA,Temperature,degC
