coordinates,publication,filename,authorName,archiveType,variableType,description,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-117.3, 51.4, 2000]",PAGES2kv2,NAm-Athabasca.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,B. H. Luckman,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,R. J. S. Wilson,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,B. H. Luckman,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,R. J. S. Wilson,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,B. H. Luckman,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,R. J. S. Wilson,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,B. H. Luckman,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,R. J. S. Wilson,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,B. H. Luckman,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,R. J. S. Wilson,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,B. H. Luckman,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,R. J. S. Wilson,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,B. H. Luckman,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,R. J. S. Wilson,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,B. H. Luckman,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,R. J. S. Wilson,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,B. H. Luckman,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,R. J. S. Wilson,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,B. H. Luckman,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,R. J. S. Wilson,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,B. H. Luckman,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,R. J. S. Wilson,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,B. H. Luckman,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-117.2, 52.2, 2000]",PAGES2kv2,NAm-AthabascaGlacier2.Luckman.2005.lpd,R. J. S. Wilson,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-114.3, 45.9, 2680]",PAGES2kv2,NAm-BakerLake.Hughes.2005.lpd,M.K. Hughes,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-114.3, 45.9, 2680]",PAGES2kv2,NAm-BakerLake.Hughes.2005.lpd,M.K. Hughes,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-114.3, 45.9, 2680]",PAGES2kv2,NAm-BakerLake.Hughes.2005.lpd,M.K. Hughes,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-114.3, 45.9, 2680]",PAGES2kv2,NAm-BakerLake.Hughes.2005.lpd,M.K. Hughes,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-114.3, 45.9, 2680]",PAGES2kv2,NAm-BakerLake.Hughes.2005.lpd,M.K. Hughes,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-114.3, 45.9, 2680]",PAGES2kv2,NAm-BakerLake.Hughes.2005.lpd,M.K. Hughes,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-114.3, 45.9, 2680]",PAGES2kv2,NAm-BakerLake.Hughes.2005.lpd,M.K. Hughes,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-114.3, 45.9, 2680]",PAGES2kv2,NAm-BakerLake.Hughes.2005.lpd,M.K. Hughes,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-114.3, 45.9, 2680]",PAGES2kv2,NAm-BakerLake.Hughes.2005.lpd,M.K. Hughes,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-114.3, 45.9, 2680]",PAGES2kv2,NAm-BakerLake.Hughes.2005.lpd,M.K. Hughes,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-114.3, 45.9, 2680]",PAGES2kv2,NAm-BakerLake.Hughes.2005.lpd,M.K. Hughes,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-114.3, 45.9, 2680]",PAGES2kv2,NAm-BakerLake.Hughes.2005.lpd,M.K. Hughes,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Keith R. Briffa,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Keith R. Briffa,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Keith R. Briffa,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Keith R. Briffa,tree,measured,NA,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Keith R. Briffa,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Keith R. Briffa,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Keith R. Briffa,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Keith R. Briffa,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Keith R. Briffa,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Keith R. Briffa,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Keith R. Briffa,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-121.7, 45.3, 1300]",PAGES2kv2,NAm-BarlowPassamMtHood.Briffa.1996.lpd,Keith R. Briffa,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Fritz H. Schweingruber,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-120.7, 53.3, 1530]",PAGES2kv2,NAm-BellMountain.Schweingruber.1996.lpd,Keith R. Briffa,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Scott St George,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Brian H Luckman,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Scott St George,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Brian H Luckman,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Scott St George,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Brian H Luckman,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Scott St George,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Brian H Luckman,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Scott St George,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Brian H Luckman,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Scott St George,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Brian H Luckman,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Scott St George,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Brian H Luckman,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Scott St George,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Brian H Luckman,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Scott St George,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Brian H Luckman,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Scott St George,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Brian H Luckman,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Scott St George,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Brian H Luckman,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Scott St George,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2001.lpd,Brian H Luckman,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Donald K. Youngblut,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Brian H. Luckman,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Donald K. Youngblut,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Brian H. Luckman,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Donald K. Youngblut,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Brian H. Luckman,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Donald K. Youngblut,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Brian H. Luckman,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Donald K. Youngblut,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Brian H. Luckman,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Donald K. Youngblut,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Brian H. Luckman,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Donald K. Youngblut,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Brian H. Luckman,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Donald K. Youngblut,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-118.3, 52.7, 1850]",PAGES2kv2,NAm-Bennington.Luckman.2013.lpd,Brian H. Luckman,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
