coordinates,publication,filename,authorName,archiveType,variableType,description,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Lindsay A. Powers,lake sediment,measured,mean TEX86 from 1-4 replicates,TEX86,NA,1,NA,Lake Surface,NA,NA
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Thomas C. Johnson,lake sediment,measured,mean TEX86 from 1-4 replicates,TEX86,NA,1,NA,Lake Surface,NA,NA
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Josef P. Werne,lake sediment,measured,mean TEX86 from 1-4 replicates,TEX86,NA,1,NA,Lake Surface,NA,NA
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Isla S. Castañeda,lake sediment,measured,mean TEX86 from 1-4 replicates,TEX86,NA,1,NA,Lake Surface,NA,NA
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Ellen C. Hopmans,lake sediment,measured,mean TEX86 from 1-4 replicates,TEX86,NA,1,NA,Lake Surface,NA,NA
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Jaap S. Sinninghe Damsté,lake sediment,measured,mean TEX86 from 1-4 replicates,TEX86,NA,1,NA,Lake Surface,NA,NA
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Stefan Schouten,lake sediment,measured,mean TEX86 from 1-4 replicates,TEX86,NA,1,NA,Lake Surface,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Jessica E. Tierney,lake sediment,measured,NA,TEX86,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Marc T. Mayes,lake sediment,measured,NA,TEX86,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Natacha Meyer,lake sediment,measured,NA,TEX86,degC,NA,NA,NA,NA,NA
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Christopher Johnson,lake sediment,measured,NA,TEX86,degC,NA,NA,NA,NA,NA
