filename,archiveType,inferredVariableType,units,proxyObservationType,interpretation/variable,interpretation/variableDetail
CO00COKY-SAMPLEDATA.lpd,coral,Year,NA,NA,NA,NA
DSDP502.deMenocal.1992.lpd,marine sediment,Age,NA,NA,NA,NA
DSDP502.deMenocal.1992.lpd,marine sediment,NA,NA,D18O,NA,NA
DSDP607.Lisiecki.2005.lpd,marine sediment,Age,NA,NA,NA,NA
DSDP607.Lisiecki.2005.lpd,marine sediment,NA,NA,D18O,NA,NA
DSDP610.Lisiecki.2005.lpd,marine sediment,Age,NA,NA,NA,NA
DSDP610.Lisiecki.2005.lpd,marine sediment,NA,NA,D18O,NA,NA
Eur-CentralandEasternPyrenees.Pla.2004.lpd,lake sediment,NA,NA,SampleID,NA,NA
Eur-CentralandEasternPyrenees.Pla.2004.lpd,lake sediment,Year,NA,NA,NA,NA
Eur-CentralandEasternPyrenees.Pla.2004.lpd,lake sediment,Age,NA,NA,NA,NA
Eur-CentralandEasternPyrenees.Pla.2004.lpd,lake sediment,Temperature,NA,NA,NA,NA
Eur-CentralandEasternPyrenees.Pla.2004.lpd,lake sediment,Uncertainty temperature,NA,NA,NA,NA
Eur-CentralEurope.Dobrovolný.2009.lpd,documents,Temperature,NA,GhostMeasured,NA,NA
Eur-CentralEurope.Dobrovolný.2009.lpd,documents,Year,NA,NA,NA,NA
Eur-CoastofPortugal.Abrantes.2011.lpd,marine sediment,Temperature,NA,GhostMeasured,NA,NA
Eur-CoastofPortugal.Abrantes.2011.lpd,marine sediment,Year,NA,NA,NA,NA
Eur-EasternCarpathianMountains.Popa.2008.lpd,tree,NA,NA,Trsgi,NA,NA
Eur-EasternCarpathianMountains.Popa.2008.lpd,tree,NA,NA,TRW,NA,NA
Eur-EasternCarpathianMountains.Popa.2008.lpd,tree,Year,NA,NA,NA,NA
Eur-EuropeanAlps.Büntgen.2011.lpd,tree,NA,NA,Trsgi,NA,NA
Eur-EuropeanAlps.Büntgen.2011.lpd,tree,NA,NA,TRW,NA,NA
Eur-EuropeanAlps.Büntgen.2011.lpd,tree,Year,NA,NA,NA,NA
Eur-FinnishLakelands.Helama.2014.lpd,tree,Temperature,NA,GhostMeasured,NA,NA
Eur-FinnishLakelands.Helama.2014.lpd,tree,Year,NA,NA,NA,NA
Eur-LakeSilvaplana.Larocque-Tobler.2010.lpd,lake sediment,Temperature,NA,GhostMeasured,NA,NA
Eur-LakeSilvaplana.Larocque-Tobler.2010.lpd,lake sediment,Year,NA,NA,NA,NA
Eur-LakeSilvaplana.Trachsel.2010.lpd,lake sediment,Temperature,NA,GhostMeasured,NA,NA
Eur-LakeSilvaplana.Trachsel.2010.lpd,lake sediment,Year,NA,NA,NA,NA
Eur-Lötschental.Büntgen.2006.lpd,tree,NA,NA,MXD,NA,NA
Eur-Lötschental.Büntgen.2006.lpd,tree,Year,NA,NA,NA,NA
Eur-MaritimeFrenchAlps.Büntgen.2012.lpd,tree,NA,NA,Trsgi,NA,NA
Eur-MaritimeFrenchAlps.Büntgen.2012.lpd,tree,NA,NA,TRW,NA,NA
Eur-MaritimeFrenchAlps.Büntgen.2012.lpd,tree,Year,NA,NA,NA,NA
Eur-NorthernScandinavia.Esper.2012.lpd,tree,NA,NA,MXD,NA,NA
Eur-NorthernScandinavia.Esper.2012.lpd,tree,Year,NA,NA,NA,NA
Eur-NorthernSpain.Martín-Chivelet.2011.lpd,speleothem,NA,NA,D18O,NA,NA
Eur-NorthernSpain.Martín-Chivelet.2011.lpd,speleothem,Year,NA,NA,NA,NA
Eur-RAPiD-17-5P.Moffa-Sanchez.2014.lpd,marine sediment,NA,NA,D18O,NA,NA
Eur-RAPiD-17-5P.Moffa-Sanchez.2014.lpd,marine sediment,Year,NA,NA,NA,NA
Eur-Seebergsee.Larocque-Tobler.2012.lpd,lake sediment,Temperature,NA,GhostMeasured,NA,NA
Eur-Seebergsee.Larocque-Tobler.2012.lpd,lake sediment,Year,NA,NA,NA,NA
Eur-SpanishPyrenees.Dorado-Linan.2012.lpd,tree,NA,NA,Trsgi,NA,NA
Eur-SpanishPyrenees.Dorado-Linan.2012.lpd,tree,NA,NA,TRW,NA,NA
Eur-SpanishPyrenees.Dorado-Linan.2012.lpd,tree,Year,NA,NA,NA,NA
Eur-SpannagelCave.Mangini.2005.lpd,speleothem,NA,NA,D18O,NA,NA
Eur-SpannagelCave.Mangini.2005.lpd,speleothem,Year,NA,NA,NA,NA
Eur-Stockholm.Leijonhufvud.2009.lpd,documents,Temperature,NA,GhostMeasured,NA,NA
Eur-Stockholm.Leijonhufvud.2009.lpd,documents,Year,NA,NA,NA,NA
Eur-Tallinn.Tarand.2001.lpd,documents,Temperature,NA,NA,NA,NA
Eur-Tallinn.Tarand.2001.lpd,documents,Year,NA,NA,NA,NA
Eur-Tallinn.Tarand.2001.lpd,documents,NA,NA,JulianDay,NA,NA
Eur-TatraMountains.Büntgen.2013.lpd,tree,NA,NA,Trsgi,NA,NA
Eur-TatraMountains.Büntgen.2013.lpd,tree,NA,NA,TRW,NA,NA
Eur-TatraMountains.Büntgen.2013.lpd,tree,Year,NA,NA,NA,NA
GeoB10042-1.Setiawan.2016.lpd,marine sediment,Age,NA,NA,Age,calendar
GeoB10042-1.Setiawan.2016.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
GeoB10042-1.Setiawan.2016.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
GeoB10042-1.Setiawan.2016.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GeoB10042-1.Setiawan.2016.lpd,marine sediment,D18O,NA,NA,d18Osw,sea surface
GeoB10042-1.Setiawan.2016.lpd,marine sediment,Relative Sea Level,NA,NA,NA,NA
GeoB10043-3.Setiawan.2016.lpd,marine sediment,Age,NA,NA,Age,calendar
GeoB10043-3.Setiawan.2016.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
GeoB10043-3.Setiawan.2016.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
GeoB10043-3.Setiawan.2016.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GeoB10043-3.Setiawan.2016.lpd,marine sediment,D18O,NA,NA,d18Osw,sea surface
GeoB10043-3.Setiawan.2016.lpd,marine sediment,Relative Sea Level,NA,NA,NA,NA
GeoB10069-3.Gibbons.2014.lpd,marine sediment,Age,NA,NA,Age,calendar
GeoB10069-3.Gibbons.2014.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
GeoB10069-3.Gibbons.2014.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GeoB10069-3.Gibbons.2014.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
GeoB10069-3.Gibbons.2014.lpd,marine sediment,D18O,NA,NA,d18Osw,sea surface
GeoB10069-3.Gibbons.2014.lpd,marine sediment,D18O,NA,NA,d18Osw,sea surface
GeoB1023-5.Kim.2002.lpd,marine sediment,Age,NA,NA,Age,calendar
GeoB1023-5.Kim.2002.lpd,marine sediment,Sedimentation Rate,NA,NA,NA,NA
GeoB1023-5.Kim.2002.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
GeoB1023-5.Kim.2002.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GeoB12605-3.Kuhnert.2014.lpd,marine sediment,Age,NA,NA,Age,calendar
GeoB12605-3.Kuhnert.2014.lpd,marine sediment,NA,NA,D18O,Temperature,sea surface
GeoB12605-3.Kuhnert.2014.lpd,marine sediment,NA,NA,D18O,Temperature,sea surface
GeoB12605-3.Kuhnert.2014.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
GeoB12605-3.Kuhnert.2014.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GeoB12605-3.Kuhnert.2014.lpd,marine sediment,D18O,NA,NA,d18sw,NA
GeoB12610-2.Rippert.2015.lpd,marine sediment,NA,NA,D18O,NA,NA
GeoB12610-2.Rippert.2015.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
GeoB12610-2.Rippert.2015.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GeoB12610-2.Rippert.2015.lpd,marine sediment,Sea Surface Temperature,NA,NA,NA,NA
GeoB12610-2.Rippert.2015.lpd,marine sediment,NA,NA,D18O,NA,NA
GeoB12610-2.Rippert.2015.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,thermocline
GeoB12610-2.Rippert.2015.lpd,marine sediment,Thermocline Temperature,NA,NA,Temperature,thermocline
GeoB12610-2.Rippert.2015.lpd,marine sediment,Thermocline Temperature,NA,NA,NA,NA
GeoB3129-1.Weldeab.2006.lpd,marine sediment,Age,NA,NA,Age,calendar
GeoB3129-1.Weldeab.2006.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GeoB3129-1.Weldeab.2006.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
GeoB3129-1.Weldeab.2006.lpd,marine sediment,D18O,NA,NA,d18Osw,sea surface
GeoB3129-1.Weldeab.2006.lpd,marine sediment,Sea Surface Salinity,NA,NA,Salinity,sea surface
GeoB33021.Kim.2002.lpd,marine sediment,Age,NA,NA,Age,calendar
GeoB33021.Kim.2002.lpd,marine sediment,Sedimentation Rate,NA,NA,NA,NA
GeoB33021.Kim.2002.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
GeoB33021.Kim.2002.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GeoB3911-3.Weldeab.2006.lpd,marine sediment,Age,NA,NA,Age,calendar
GeoB3911-3.Weldeab.2006.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GeoB3911-3.Weldeab.2006.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
GeoB3911-3.Weldeab.2006.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
GeoB3911-3.Weldeab.2006.lpd,marine sediment,Sea Surface Salinity,NA,NA,Salinity,sea surface
GeoB5844-2.Arz.2003.lpd,marine sediment,Age,NA,NA,Age,calendar
GeoB5844-2.Arz.2003.lpd,marine sediment,NA,NA,DiffuseSpectralReflectance,NA,NA
GeoB7702-3.Castaneda.2010.lpd,marine sediment,Age,NA,NA,NA,NA
GeoB7702-3.Castaneda.2010.lpd,marine sediment,NA,NA,TEX86,Temperature,sea surface
GeoB7702-3.Castaneda.2010.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GeoB7702-3.Castaneda.2010.lpd,marine sediment,NA,NA,BIT,NA,NA
GeoB7702-3.Castaneda.2010.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
GeoB7702-3.Castaneda.2010.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GIK16160-3.Wang.2003.lpd,marine sediment,Age,NA,NA,NA,NA
GIK16160-3.Wang.2003.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GIK16160-3.Wang.2003.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
GIK17748-2.Kim.2002.lpd,marine sediment,Age,NA,NA,Age,calendar
GIK17748-2.Kim.2002.lpd,marine sediment,Sedimentation Rate,NA,NA,NA,NA
GIK17748-2.Kim.2002.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
GIK17748-2.Kim.2002.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GIK17940-2.Pelejero.1999.lpd,marine sediment,Age,NA,NA,Age,calendar
GIK17940-2.Pelejero.1999.lpd,marine sediment,NA,NA,Uk37,Temperature,sea surface
GIK17940-2.Pelejero.1999.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GIK17940-2.Pelejero.1999.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
GIK23258.Sarnthein.2003.lpd,marine sediment,Age,NA,NA,Age,Calendar
GIK23258.Sarnthein.2003.lpd,marine sediment,NA,NA,D13C,NA,NA
GIK23258.Sarnthein.2003.lpd,marine sediment,NA,NA,D18O,NA,NA
GIK23258.Sarnthein.2003.lpd,marine sediment,NA,NA,D18O,NA,NA
GIK23258.Sarnthein.2003.lpd,marine sediment,NA,NA,D13C,NA,NA
JM98-1-PC.Husum.2004.lpd,marine sediment,Age,NA,NA,NA,NA
JM98-1-PC.Husum.2004.lpd,marine sediment,NA,NA,D13C,NA,NA
JM98-1-PC.Husum.2004.lpd,marine sediment,NA,NA,D18O,d18Osw,Bottom water
JR51GC35.Bendle.2007.lpd,marine sediment,Year,NA,NA,Age,Calendar
JR51GC35.Bendle.2007.lpd,marine sediment,NA,NA,Uk37,Temperature,sea surface
JR51GC35.Bendle.2007.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
JR51GC35.Bendle.2007.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
Juxtlahuaca.Lachniet.2012.lpd,speleothem,NA,NA,Distance,NA,NA
Juxtlahuaca.Lachniet.2012.lpd,speleothem,NA,NA,D18O,NA,NA
Juxtlahuaca.Lachniet.2012.lpd,speleothem,NA,NA,D18O,NA,NA
Juxtlahuaca.Lachniet.2012.lpd,speleothem,Age,NA,NA,NA,NA
Juxtlahuaca.Lachniet.2013.lpd,speleothem,NA,NA,Distance,NA,NA
Juxtlahuaca.Lachniet.2013.lpd,speleothem,NA,NA,D18O,NA,NA
Juxtlahuaca.Lachniet.2013.lpd,speleothem,NA,NA,D18O,NA,NA
Juxtlahuaca.Lachniet.2013.lpd,speleothem,Age,NA,NA,NA,NA
Juxtlahuaca.Lachniet.2017.lpd,speleothem,NA,NA,Distance,NA,NA
Juxtlahuaca.Lachniet.2017.lpd,speleothem,NA,NA,D18O,NA,NA
Juxtlahuaca.Lachniet.2017.lpd,speleothem,NA,NA,D18O,NA,NA
Juxtlahuaca.Lachniet.2017.lpd,speleothem,Age,NA,NA,NA,NA
Kesang.Cheng.2012.lpd,speleothem,Age,NA,NA,NA,NA
Kesang.Cheng.2012.lpd,speleothem,NA,NA,D18O,NA,NA
KNR-159-5_33GGC.Lacerra.2017.lpd,marine sediment,Age,NA,NA,Age,calendar
KNR-159-5_33GGC.Lacerra.2017.lpd,marine sediment,Carbonate Ion Concentration,NA,B/Ca,Carbonate ion concentration,deep water
KNR-159-5_33GGC.Lacerra.2017.lpd,marine sediment,Carbonate Ion Concentration,NA,B/Ca,NA,NA
KNR-159-5_33GGC.Lacerra.2017.lpd,marine sediment,NA,NA,NumberOfObservations,NA,NA
KNR-159-5_78GGC.Lacerra.2017.lpd,marine sediment,Age,NA,NA,Age,calendar
KNR-159-5_78GGC.Lacerra.2017.lpd,marine sediment,Carbonate Ion Concentration,NA,B/Ca,Carbonate ion concentration,deep water
KNR-159-5_78GGC.Lacerra.2017.lpd,marine sediment,Carbonate Ion Concentration,NA,B/Ca,NA,NA
KNR-159-5_78GGC.Lacerra.2017.lpd,marine sediment,NA,NA,NumberOfObservations,NA,NA
KNR166-2-26JPC.Schmidt.2011.lpd,marine sediment,Age,NA,NA,Age,calendar
KNR166-2-26JPC.Schmidt.2011.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
KNR166-2-26JPC.Schmidt.2011.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
KNR166-2-26JPC.Schmidt.2011.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
KNR166-2-26JPC.Schmidt.2011.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
KNR166-2-26JPC.Schmidt.2011.lpd,marine sediment,D18O,NA,NA,d18Osw,sea surface
KNR166-2-26JPC.Schmidt.2011.lpd,marine sediment,NA,NA,Ba/Ca,NA,NA
KNR166-2JPC51.Schmidt.2012.lpd,marine sediment,Age,NA,NA,Age,calendar
KNR166-2JPC51.Schmidt.2012.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
KNR166-2JPC51.Schmidt.2012.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
KNR166-2JPC51.Schmidt.2012.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
KNR166-2JPC51.Schmidt.2012.lpd,marine sediment,D18O,NA,NA,d18Osw,sea surface
KNR166-2JPC51.Schmidt.2012.lpd,marine sediment,D18O,NA,NA,d18Osw,sea surface
KNR195-5-CDH23.Bova.2015.lpd,marine sediment,Age,NA,NA,NA,NA
KNR195-5-CDH23.Bova.2015.lpd,marine sediment,NA,NA,D13C,NA,NA
KNR195-5-CDH23.Bova.2015.lpd,marine sediment,NA,NA,D18O,NA,NA
KNR195-5-CDH23.Bova.2015.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
KNR195-5-CDH23.Bova.2015.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
KNR195-5-CDH23.Bova.2015.lpd,marine sediment,NA,NA,AlkenoneAbundance,NA,NA
KNR195-5_CDH26.Bova.2015.lpd,marine sediment,Age,NA,NA,Age,calendar
KNR195-5_CDH26.Bova.2015.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
KNR195-5_CDH26.Bova.2015.lpd,marine sediment,NA,NA,AlkenoneAbundance,NA,NA
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,Age,NA,NA,Age,calendar
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,NA,NA,Density,NA,NA
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,NA,NA,TotalOrganicCarbon,NA,NA
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,NA,NA,N,NA,NA
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,NA,NA,C/N,NA,NA
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,NA,NA,CaCO3,NA,NA
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
LakeSurprise.Falster.2018.lpd,lake sediment,Age,NA,NA,NA,NA
LakeSurprise.Falster.2018.lpd,lake sediment,NA,NA,D13C,P/E,NA
LakeSurprise.Falster.2018.lpd,lake sediment,NA,NA,C,NA,NA
LakeSurprise.Falster.2018.lpd,lake sediment,NA,NA,N,NA,NA
LakeSurprise.Falster.2018.lpd,lake sediment,NA,NA,C/N,organic matter source,NA
LV29-114-3.Max.2012.lpd,marine sediment,Age,NA,NA,Age,calendar
LV29-114-3.Max.2012.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
LV29-114-3.Max.2012.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
LV29-114-3.Max.2012.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
LV29-114-3.Max.2012.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
M25_4-KL1.Emeis.2000.lpd,marine sediment,Age,NA,NA,Age,calendar
M25_4-KL1.Emeis.2000.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
M25_4-KL1.Emeis.2000.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
M35003-4.Ruehlemann.1999.lpd,marine sediment,Radiocarbon Age,NA,NA,Age,calendar
M35003-4.Ruehlemann.1999.lpd,marine sediment,Age,NA,NA,Age,calendar
M35003-4.Ruehlemann.1999.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
M35003-4.Ruehlemann.1999.lpd,marine sediment,NA,NA,37:3AlkenoneConcentration,NA,NA
M35003-4.Ruehlemann.1999.lpd,marine sediment,NA,NA,37:2AlkenoneConcentration,NA,NA
M35003-4.Ruehlemann.1999.lpd,marine sediment,NA,NA,AlkenoneConcentration,NA,NA
M35003-4.Ruehlemann.1999.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
M35003-4.Ruehlemann.1999.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
M77-2_056.Nurnberg.2015.lpd,marine sediment,Age,NA,NA,NA,NA
M77-2_056.Nurnberg.2015.lpd,marine sediment,NA,NA,D13C,NA,NA
M77-2_056.Nurnberg.2015.lpd,marine sediment,NA,NA,D18O,d18Osw,bottom water
M77-2_056.Nurnberg.2015.lpd,marine sediment,NA,NA,D13C,NA,NA
M77-2_056.Nurnberg.2015.lpd,marine sediment,NA,NA,D18O,d18Osw,surface
M77-2_056.Nurnberg.2015.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
M77-2_056.Nurnberg.2015.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
M77-2_056.Nurnberg.2015.lpd,marine sediment,D18O,NA,NA,d18Osw,sea surface
M77-2_056.Nurnberg.2015.lpd,marine sediment,NA,NA,D13C,NA,NA
M77-2_056.Nurnberg.2015.lpd,marine sediment,NA,NA,D18O,d18Osw,subsurface
M77-2_056.Nurnberg.2015.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,subsurface
M77-2_056.Nurnberg.2015.lpd,marine sediment,Temperature,NA,NA,Temperature,subsurface
M77-2_056.Nurnberg.2015.lpd,marine sediment,D18O,NA,NA,d18Osw,subsurface
MD01-2378.Xu.2008.lpd,marine sediment,Age,NA,NA,NA,NA
MD01-2378.Xu.2008.lpd,marine sediment,NA,NA,D18O,NA,NA
MD01-2378.Xu.2008.lpd,marine sediment,NA,NA,D18O,NA,NA
MD01-2378.Xu.2008.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
MD01-2378.Xu.2008.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
MD01-2378.Xu.2008.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,thermocline
MD01-2378.Xu.2008.lpd,marine sediment,Thermocline Temperature,NA,NA,Temperature,thermocline
MD01-2390.Steinke.2008.lpd,marine sediment,Age,NA,NA,Age,calendar
MD01-2390.Steinke.2008.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
MD01-2390.Steinke.2008.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
MD01-2390.Steinke.2008.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
MD01-2390.Steinke.2008.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
MD01-2390.Steinke.2008.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
MD01-2390.Steinke.2008.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
MD01-2390.Steinke.2008.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
MD01-2390.Steinke.2008.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
MD01-2390.Steinke.2008.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
MD01-2390.Steinke.2008.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
MD01-2390.Steinke.2008.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
MD01-2412.Harada.2006.lpd,marine sediment,Age,NA,NA,Age,calendar
MD01-2412.Harada.2006.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
MD01-2412.Harada.2006.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
MD02-2575.Ziegler.2008.lpd,marine sediment,Age,NA,NA,Age,calendar
MD02-2575.Ziegler.2008.lpd,marine sediment,NA,NA,D18O,Ice volume,bottom water
MD02-2575.Ziegler.2008.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
MD02-2575.Ziegler.2008.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
MD02-2575.Ziegler.2008.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
MD03-2601.Kim.2012.lpd,marine sediment,Subsurface Temperature,NA,NA,Temperature,subsurface
MD03-2601.Kim.2012.lpd,marine sediment,NA,NA,TEX86,Temperature,subsurface
MD03-2797.Weldeab.2007.lpd,marine sediment,NA,NA,NA,Age,calendar
MD03-2797.Weldeab.2007.lpd,marine sediment,Age,NA,NA,NA,NA
MD03-2797.Weldeab.2007.lpd,marine sediment,NA,NA,Ba/Ca,Salinity,sea surface
MD03-2797.Weldeab.2007.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
MD03-2797.Weldeab.2007.lpd,marine sediment,D18O,NA,NA,d18Osw,sea surface
MD03-2797.Weldeab.2007.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
MD03-2797.Weldeab.2007.lpd,marine sediment,Salinity,NA,NA,Salinity,sea surface
MD03-2797.Weldeab.2007.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
MD05-2904.Steinke.2011.lpd,marine sediment,Age,NA,NA,Age,Calendar
MD05-2904.Steinke.2011.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
MD05-2904.Steinke.2011.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
MD05-2904.Steinke.2011.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
MD05-2904.Steinke.2011.lpd,marine sediment,Thermocline Temperature,NA,NA,Temperature,sea surface
MD95-2015.Marchal.2002.lpd,marine sediment,Age,NA,NA,Age,calendar
MD95-2015.Marchal.2002.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
MD95-2015.Marchal.2002.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
MD95-2043.Cacho.1999.lpd,marine sediment,Age,NA,NA,Age,calendar
MD95-2043.Cacho.1999.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
MD95-2043.Cacho.1999.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,sea surface
MD97-2121.Marr.2013.lpd,marine sediment,Age,NA,NA,Age,calendar
MD97-2121.Marr.2013.lpd,marine sediment,NA,NA,Mg/Ca,NA,NA
MD97-2121.Marr.2013.lpd,marine sediment,NA,NA,Mg/Ca,NA,NA
MD97-2121.Marr.2013.lpd,marine sediment,NA,NA,Al/Ca,NA,NA
MD97-2121.Marr.2013.lpd,marine sediment,NA,NA,Al/Ca,NA,NA
MD97-2121.Marr.2013.lpd,marine sediment,NA,NA,Mn/Ca,NA,NA
MD97-2121.Marr.2013.lpd,marine sediment,NA,NA,Mn/Ca,NA,NA
MD97-2121.Marr.2013.lpd,marine sediment,NA,NA,Zn/Ca,NA,NA
MD97-2121.Marr.2013.lpd,marine sediment,NA,NA,Zn/Ca,NA,NA
MD97-2121.Marr.2013.lpd,marine sediment,NA,NA,Sr/Ca,NA,NA
MD97-2121.Marr.2013.lpd,marine sediment,NA,NA,Sr/Ca,NA,NA
MD97-2121.Marr.2013.lpd,marine sediment,NA,NA,Ba/Ca,NA,NA
MD97-2121.Marr.2013.lpd,marine sediment,NA,NA,Ba/Ca,NA,NA
MD97-2141.Rosentha.2003.lpd,marine sediment,Age,NA,NA,Age,calendar
MD97-2141.Rosentha.2003.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
MD97-2141.Rosentha.2003.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
MD97-2141.Rosentha.2003.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
MD97-2141.Rosentha.2003.lpd,marine sediment,D18O,NA,NA,d18Osw,sea surface
MD972120-MD972121.Pahnke.2006.lpd,marine sediment,Age,NA,NA,Age,Calendar
MD972120-MD972121.Pahnke.2006.lpd,marine sediment,NA,NA,Uk37Prime,Temperature,Sea surface
MD972120-MD972121.Pahnke.2006.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,Sea surface
MD972120-MD972121.Pahnke.2006.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,Sea surface
