filename,archiveType,inferredVariableType,units,proxyObservationType,interpretation/variable,interpretation/variableDetail
Ant-WAIS-Divide.Severinghaus.2012.lpd,glacier ice,Year,NA,NA,NA,NA
Ant-WDC05A.Steig.2013.lpd,glacier ice,NA,NA,D18O,NA,NA
Ant-WDC05A.Steig.2013.lpd,glacier ice,Year,NA,NA,NA,NA
Ant-WDC06A.Steig.2013.lpd,glacier ice,NA,NA,Year old,NA,NA
Ant-WDC06A.Steig.2013.lpd,glacier ice,Year,NA,NA,NA,NA
Ant-WDC06A.Steig.2013.lpd,glacier ice,NA,NA,D18O,NA,NA
Ant-WDC06A.Steig.2013.lpd,glacier ice,NA,NA,DD,NA,NA
Arc-Agassiz.Vinther.2008.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-Agassiz.Vinther.2008.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,NA,NA,Thickness,NA,NA
Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,Age,NA,NA,NA,NA
Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,NA,NA,Na,NA,NA
Arc-Arjeplog.Bjorklund.2014.lpd,tree,NA,NA,Density,NA,NA
Arc-Arjeplog.Bjorklund.2014.lpd,tree,NA,NA,DeltaDensity,NA,NA
Arc-Arjeplog.Bjorklund.2014.lpd,tree,Year,NA,NA,NA,NA
Arc-Arjeplog.Bjorklund.2014.lpd,tree,NA,NA,BlueIntensity,NA,NA
Arc-Arjeplog.Bjorklund.2014.lpd,tree,NA,NA,Reflectance,NA,NA
Arc-Armarnaes.Bjorklund.2012.lpd,tree,NA,NA,Density,NA,NA
Arc-Armarnaes.Bjorklund.2012.lpd,tree,NA,NA,DeltaDensity,NA,NA
Arc-Armarnaes.Bjorklund.2012.lpd,tree,Year,NA,NA,NA,NA
Arc-Austfonna.Isaksson.2005.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-Austfonna.Isaksson.2005.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-Avam-Taimyr.Briffa.2008.lpd,tree,NA,NA,Trsgi,NA,NA
Arc-Avam-Taimyr.Briffa.2008.lpd,tree,NA,NA,TRW,NA,NA
Arc-Avam-Taimyr.Briffa.2008.lpd,tree,Year,NA,NA,NA,NA
Arc-BigRoundLake.Thomas.2009.lpd,lake sediment,Temperature,NA,GhostMeasured,NA,NA
Arc-BigRoundLake.Thomas.2009.lpd,lake sediment,Year,NA,NA,NA,NA
Arc-BlueLake.Bird.2008.lpd,lake sediment,NA,NA,Thickness,NA,NA
Arc-BlueLake.Bird.2008.lpd,lake sediment,NA,NA,VarveThickness,NA,NA
Arc-BlueLake.Bird.2008.lpd,lake sediment,Year,NA,NA,NA,NA
Arc-CampCentury.Fisher.1969.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-CampCentury.Fisher.1969.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-Crete.Vinther.2010.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-Crete.Vinther.2010.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-DevonIceCap.Fisher.1983.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-DevonIceCap.Fisher.1983.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-Dye.Vinther.2010.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-Dye.Vinther.2010.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-Forfjorddalen.McCarroll.2013.lpd,tree,NA,NA,MXD,NA,NA
Arc-Forfjorddalen.McCarroll.2013.lpd,tree,Year,NA,NA,NA,NA
Arc-GISP2.Grootes.1997.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-GISP2.Grootes.1997.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-GRIP.Vinther.2010.lpd,glacier ice,NA,NA,D18O,NA,NA
Arc-GRIP.Vinther.2010.lpd,glacier ice,Year,NA,NA,NA,NA
Arc-GulfofAlaska.Wilson.2014.lpd,tree,Temperature,NA,GhostMeasured,NA,NA
Arc-GulfofAlaska.Wilson.2014.lpd,tree,Year,NA,NA,NA,NA
Arc-HalletLake.McKay.2008.lpd,lake sediment,NA,NA,Thickness,NA,NA
Arc-HalletLake.McKay.2008.lpd,lake sediment,Year,NA,NA,NA,NA
Arc-HalletLake.McKay.2008.lpd,lake sediment,Age,NA,NA,NA,NA
Arc-HalletLake.McKay.2008.lpd,lake sediment,NA,NA,Duration,NA,NA
Arc-HalletLake.McKay.2008.lpd,lake sediment,NA,NA,BSi,NA,NA
Arc-HalletLake.McKay.2008.lpd,lake sediment,Temperature,NA,NA,NA,NA
Arc-HalletLake.McKay.2008.lpd,lake sediment,Uncertainty temperature,NA,NA,NA,NA
Arc-HudsonLake.Clegg.2011.lpd,lake sediment,Temperature,NA,GhostMeasured,NA,NA
Arc-HudsonLake.Clegg.2011.lpd,lake sediment,Year,NA,NA,NA,NA
Arc-Hvítárvatn.Larsen.2011.lpd,lake sediment,NA,NA,Thickness,NA,NA
Arc-Hvítárvatn.Larsen.2011.lpd,lake sediment,NA,NA,VarveThickness,NA,NA
Arc-Hvítárvatn.Larsen.2011.lpd,lake sediment,Year,NA,NA,NA,NA
Arc-Iceland.Bergthorsson.1969.lpd,documents,Temperature,NA,GhostMeasured,NA,NA
Arc-Iceland.Bergthorsson.1969.lpd,documents,Year,NA,NA,NA,NA
Arc-Indigirka.Hughes.1999.lpd,tree,NA,NA,Trsgi,NA,NA
Arc-Indigirka.Hughes.1999.lpd,tree,NA,NA,TRW,NA,NA
Arc-Indigirka.Hughes.1999.lpd,tree,Year,NA,NA,NA,NA
Arc-Kittelfjall.Bjorklund.2012.lpd,tree,NA,NA,Density,NA,NA
Arc-Kittelfjall.Bjorklund.2012.lpd,tree,NA,NA,DeltaDensity,NA,NA
Arc-Kittelfjall.Bjorklund.2012.lpd,tree,Year,NA,NA,NA,NA
Arc-Kongressvatnet.D'Andrea.2012.lpd,lake sediment,NA,NA,Uk37,NA,NA
Arc-Kongressvatnet.D'Andrea.2012.lpd,lake sediment,Year,NA,NA,NA,NA
Arc-Kongressvatnet.D'Andrea.2012.lpd,lake sediment,Temperature,NA,NA,NA,NA
Arc-Laanila.Lindholm.2013.lpd,tree,NA,NA,MXD,NA,NA
Arc-Laanila.Lindholm.2013.lpd,tree,Year,NA,NA,NA,NA
Arc-Laanila.Lindholm.2013.lpd,tree,NA,NA,TRW,NA,NA
Arc-Laanila.Lindholm.2013.lpd,tree,NA,NA,Hindex,NA,NA
Arc-LakeE.D'Andrea.2011.lpd,lake sediment,Temperature,NA,GhostMeasured,NA,NA
Arc-LakeE.D'Andrea.2011.lpd,lake sediment,Year,NA,NA,NA,NA
Arc-LakeE.D'Andrea.2011.lpd,lake sediment,Age,NA,NA,NA,NA
Arc-LakeLehmilampi.Haltia-Hovi.2007.lpd,lake sediment,NA,NA,Thickness,NA,NA
Arc-LakeLehmilampi.Haltia-Hovi.2007.lpd,lake sediment,NA,NA,VarveThickness,NA,NA
Arc-LakeLehmilampi.Haltia-Hovi.2007.lpd,lake sediment,Year,NA,NA,NA,NA
Arc-LakeNataujärvi.Ojala.2005.lpd,lake sediment,NA,NA,X radiograph dark layer,NA,NA
Arc-LakeNataujärvi.Ojala.2005.lpd,lake sediment,NA,NA,VarveProperty,NA,NA
Arc-LakeNataujärvi.Ojala.2005.lpd,lake sediment,Year,NA,NA,NA,NA
Arc-LenaRiver.McDonald.1998.lpd,tree,NA,NA,Trsgi,NA,NA
