filename,archiveType,proxyObservationType,units
Arc-LakeNataujärvi.Ojala.2005.lpd,lake sediment,X radiograph dark layer,dark_sum
Arc-LakeNataujärvi.Ojala.2005.lpd,lake sediment,VarveProperty,dark_sum
Arc-LenaRiver.McDonald.1998.lpd,tree,Trsgi,NA
Arc-LenaRiver.McDonald.1998.lpd,tree,TRW,NA
Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,D18O,permil
Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,D18O1,permil
Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,D18O,permil
Arc-LowerMurrayLake.Cook.2008.lpd,lake sediment,Massacum,g.cm-2.a-1
Arc-LowerMurrayLake.Cook.2008.lpd,lake sediment,SedAccumulation,g.cm-2.a-1
Arc-MackenzieDelta.Porter.2013.lpd,physical sample,Trsgi,NA
Arc-MackenzieDelta.Porter.2013.lpd,physical sample,TRW,NA
Arc-MD992275.Jiang.2005.lpd,marine sediment,GhostMeasured,NotApplicable
Arc-NGTB16.Schwager.1998.lpd,glacier ice,D18O,permil
Arc-PennyIceCapP96.Fisher.1998.lpd,glacier ice,D18O,permil
Arc-PennyIceCapP96.Okuyama.2003.lpd,glacier ice,Melt,percent
Arc-PolarUrals.Wilson.2015.lpd,tree,Density,NA
Arc-PolarUrals.Wilson.2015.lpd,tree,TRW,NA
Arc-PrinceOfWales.Kinnard.2011.lpd,glacier ice,D18O,permil
Arc-SoperLake.Hughen.2000.lpd,lake sediment,Thickness,mm
Arc-StoreggaSlide.Sejrup.2011.lpd,marine sediment,GhostMeasured,NotApplicable
Arc-Tjeggelvas.Bjorklund.2012.lpd,tree,Density,NA
Arc-Tjeggelvas.Bjorklund.2012.lpd,tree,DeltaDensity,NA
Arc-Tornetrask.Melvin.2012.lpd,tree,SampleDensity,count
Arc-VøringPlateau.Berner.2011.lpd,marine sediment,GhostMeasured,NotApplicable
Arc-WindyDome.Henderson.2011.lpd,glacier ice,Melt,percent
Arc-WindyDome.Henderson.2011.lpd,glacier ice,D18O,permil
Arc-Yamalia.Briffa.2013.lpd,glacier ice,GhostMeasured,NotApplicable
Arc-Yukon.D'Arrigo.2006.lpd,tree,Trsgi,NA
Arc-Yukon.D'Arrigo.2006.lpd,tree,TRW,NA
Asi-AltaiAktru.Cook.2005.lpd,tree,Trsgi,NA
Asi-AltaiAktru.Cook.2005.lpd,tree,TRW,NA
Asi-AltaiDjasator.Cook.2011.lpd,tree,Trsgi,NA
Asi-AltaiDjasator.Cook.2011.lpd,tree,TRW,NA
Asi-AltaiJablonsky.Cook.2000.lpd,tree,Trsgi,NA
Asi-AltaiJablonsky.Cook.2000.lpd,tree,TRW,NA
Asi-AltaiKorumdu.Cook.2005.lpd,tree,Trsgi,NA
Asi-AltaiKorumdu.Cook.2005.lpd,tree,TRW,NA
Asi-AltaiKuraisky.Cook.2011.lpd,tree,Trsgi,NA
Asi-AltaiKuraisky.Cook.2011.lpd,tree,TRW,NA
Asi-AltaiKuraiskySteppe.Cook.2011.lpd,tree,Trsgi,NA
Asi-AltaiKuraiskySteppe.Cook.2011.lpd,tree,TRW,NA
Asi-AltaiSamakhaSteppe.Cook.2011.lpd,tree,Trsgi,NA
Asi-AltaiSamakhaSteppe.Cook.2011.lpd,tree,TRW,NA
Asi-AltaiTjute.Cook.2011.lpd,tree,Trsgi,NA
Asi-AltaiTjute.Cook.2011.lpd,tree,TRW,NA
Asi-AltaiUlaganValley.Cook.2011.lpd,tree,Trsgi,NA
Asi-AltaiUlaganValley.Cook.2011.lpd,tree,TRW,NA
Asi-AltaiUstUlaganLake.Cook.2005.lpd,tree,Trsgi,NA
Asi-AltaiUstUlaganLake.Cook.2005.lpd,tree,TRW,NA
Asi-BARELC.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-BARELC.PAGES2k.2013.lpd,tree,TRW,NA
Asi-BHUTSP.PAGES2k.2013.lpd,tree,Trsgi,NA
