Author,Archives
Mark S. Twickler,glacier ice(1)
Sallie I. Whitlow,glacier ice(1)
Qinghua Ding,glacier ice(4)
James W. C. White,glacier ice(4)
Marcel Küttel,glacier ice(4)
Summer B. Rupper,glacier ice(4)
Thomas A. Neumann,glacier ice(4)
Peter D. Neff,glacier ice(4)
Ailie J. E. Gallant,glacier ice(4)
Kendrick C. Taylor,glacier ice(4)
Georg Hoffmann,glacier ice(4)
Daniel A. Dixon,glacier ice(4)
Spruce W. Schoenemann,"glacier ice(4),Ice-other(1),GroundIce(1)"
Bradley R. Markle,glacier ice(4)
Tyler J. Fudge,glacier ice(4)
David P. Schneider,glacier ice(4)
Andrew J. Schauer,glacier ice(4)
Rebecca P. Teel,glacier ice(4)
Bruce H. Vaughn,glacier ice(4)
Landon Burgener,glacier ice(4)
Jessica Williams,glacier ice(4)
Elena Korotkikh,glacier ice(4)
N.A.N. Bertler,glacier ice(1)
P.A. Mayewski,glacier ice(1)
L. Carter,glacier ice(1)
A.A. Ekaykin,glacier ice(1)
A.V. Kozachek,glacier ice(1)
V. Ya. Lipenkov,glacier ice(1)
Yu. A. Shibaev,glacier ice(1)
Anais J. Orsi,borehole(1)
Bruce D. Cornuelle,borehole(1)
Jeffrey P. Severinghaus,"borehole(1),GlacierIce(2)"
D. A. Fisher,glacier ice(4)
R. M. Koerner,"glacier ice(3),GlacierIce(1)"
K. K. Andersen,glacier ice(3)
D. Dahl-Jensen,"glacier ice(6),GlacierIce(2)"
J. P. Steffensen,"glacier ice(3),GlacierIce(1)"
A. M. Svensson,glacier ice(2)
T. Opel,glacier ice(1)
D. Fritzsche,glacier ice(1)
H. Meyer,"glacier ice(1),GlacierIce(2),LakeSediment(1)"
J. A. Björklund,tree(1)
B. E. Gunnarson,tree(2)
K. Seftigen,tree(1)
J. Esper,tree(3)
H. W. Linderholm,tree(2)
Jesper A. Björklund,tree(3)
Björn E. Gunnarson,tree(4)
Paul J. Krusic,tree(136)
Håkan Grudd,tree(3)
Torbjörn Josefsson,tree(3)
Lars Östlund,tree(3)
Hans W. Linderholm,tree(4)
E. Isaksson,glacier ice(1)
D. Divine,"glacier ice(1),marine sediment(1),MarineSediment(1)"
J. Kohler,glacier ice(1)
T. Martma,glacier ice(1)
V. Pohjola,glacier ice(1)
O. Watanabe,"glacier ice(1),GlacierIce(1)"
K. R Briffa,tree(1)
V. V Shishov,tree(1)
T. M Melvin,tree(1)
E. A Vaganov,tree(1)
H. Grudd,tree(3)
R. M Hantemirov,tree(1)
M. Eronen,tree(1)
M. M Naurzbaev,tree(1)
Elizabeth K. Thomas,lake sediment(1)
Jason P. Briner,"lake sediment(1),LakeSediment(2)"
Broxton W. Bird,lake sediment(1)
Mark B. Abbott,"lake sediment(1),LakeSediment(1)"
