Author,Archives
P.K. Swart,"coral(2),Coral(1)"
Christopher D. Charles,coral(3)
Kim Cobb,coral(2)
Michael D. Moore,coral(2)
Richard G. Fairbanks,coral(3)
T. F. Cooper,coral(6)
R. A. O'Leary,coral(6)
J. M. Lough,coral(6)
Jung-Hyun Kim,"marine sediment(1),MarineSediment(9)"
Helge Meggers,"marine sediment(1),MarineSediment(2)"
Norel Rimbu,"marine sediment(1),MarineSediment(3)"
Gerrit Lohmann,"marine sediment(1),MarineSediment(4)"
Tim Freudenthal,"marine sediment(1),MarineSediment(1)"
Peter J. Müller,marine sediment(1)
Ralph R. Schneider,"marine sediment(1),MarineSediment(16)"
H. V. Mcgregor,marine sediment(1)
M. Dima,"marine sediment(1),coral(1)"
H. W. Fischer,marine sediment(1)
S. Mulitza,marine sediment(1)
Caroline Cléroux,marine sediment(1)
Elsa Cortijo,"marine sediment(1),MarineSediment(4)"
Pallavi Anand,marine sediment(1)
Laurent Labeyrie,"marine sediment(1),MarineSediment(2)"
Franck Bassinot,"marine sediment(1),MarineSediment(5)"
Nicolas Caillon,"marine sediment(1),MarineSediment(2)"
Jean-Claude Duplessy,"marine sediment(1),MarineSediment(3)"
David E. Black,marine sediment(1)
Matthew A. Abahazi,marine sediment(1)
Robert C. Thunell,"marine sediment(1),MarineSediment(2)"
Alexey Kaplan,"marine sediment(1),coral(6)"
Eric J. Tappa,marine sediment(1)
Larry C. Peterson,marine sediment(1)
D. W. Lea,"marine sediment(2),MarineSediment(2)"
Casey Saenger,"marine sediment(2),coral(1)"
Rosemarie E. Came,"marine sediment(3),MarineSediment(2)"
Delia W. Oppo,"marine sediment(5),coral(1),MarineSediment(12)"
Lloyd D. Keigwin,"marine sediment(2),MarineSediment(2)"
Anne L. Cohen,"marine sediment(2),coral(1)"
Frank Lamy,"marine sediment(1),MarineSediment(5)"
Carsten Rühlemann,marine sediment(1)
Dierk Hebbeln,"marine sediment(2),MarineSediment(6)"
Gerold Wefer,"marine sediment(1),coral(3),MarineSediment(7)"
Henry C. Wu,"coral(5),Coral(1)"
Mélanie Moreau,coral(4)
Braddock K. Linsley,"coral(14),marine sediment(2),tree(3),MarineSediment(5)"
Daniel P. Schrag,"coral(5),Coral(1)"
Thierry Corrège,coral(4)
Lei Ren,coral(1)
Robert B. Dunbar,coral(5)
Stephen S. Howe,coral(8)
Eva Calvo,"coral(1),marine sediment(1),MarineSediment(2)"
John F. Marshall,coral(1)
Carles Pelejero,"coral(1),MarineSediment(3)"
Malcolm T. Mcculloch,coral(2)
Michael K. Gagan,coral(2)
Janice M. Lough,coral(1)
Ryuji Asami,coral(1)
Jennifer A. Flannery,coral(1)
Richard Z. Poore,"coral(1),marine sediment(2)"
Christopher R. Maupin,coral(1)
David C. Lund,marine sediment(4)
William Curry,marine sediment(4)
Henning Kuhnert,"marine sediment(1),coral(2),MarineSediment(1)"
Stefan Mulitza,"marine sediment(1),MarineSediment(2)"
L. D. Keigwin,"marine sediment(2),MarineSediment(2)"
J. P. Sachs,"marine sediment(2),MarineSediment(1)"
Y. Rosenthal,"marine sediment(2),MarineSediment(1)"
Julian P. Sachs,"marine sediment(1),MarineSediment(3),LakeSediment(1)"
T.O. Richter,"marine sediment(1),MarineSediment(1)"
F.J.C. Peeters,marine sediment(1)
T.C.E. Van Weering,marine sediment(1)
Julie N. Richey,marine sediment(2)
Benjamin P. Flower,"marine sediment(2),MarineSediment(1)"
David J. Hollander,marine sediment(2)
Peter K. Swart,coral(2)
Genevieve F. Healy,coral(1)
Richard E. Dodge,coral(1)
Philip Kramer,coral(1)
J. Harold Hudson,coral(1)
Robert B. Halley,coral(2)
Michael B. Robblee,coral(1)
Gangjian Wei,coral(2)
Graham Mortimer,coral(1)
Wengfeng Deng,coral(1)
Luhua Xie,"coral(1),Peat(1)"
Jessica E. Carilli,"coral(1),Coral(1)"
E. J. Hendy,coral(1)
S. Hetzinger,"coral(1),Coral(1)"
M. Pfeiffer,coral(2)
W.-C. Dullo,coral(4)
D. Garbe-Schönberg,coral(1)
J. Halfar,coral(1)
S. Weldeab,"marine sediment(1),MarineSediment(3)"
R. R. Schneider,"marine sediment(1),MarineSediment(1)"
N. Andersen,"marine sediment(1),MarineSediment(1)"
Alan D. Wanamaker,bivalve(1)
Karl J. Kreutz,bivalve(1)
Bernd R. Schöne,bivalve(1)
Neal Pettigrew,bivalve(1)
Harold W. Borns,bivalve(1)
Douglas S. Introne,bivalve(1)
Daniel Belknap,bivalve(1)
Kirk A. Maasch,bivalve(1)
Scott Feindel,bivalve(1)
Emilie P. Dassié,coral(1)
Benedetto Schiraldi,coral(1)
Peter B. Demenocal,"coral(7),MarineSediment(2)"
H. Kuhnert,coral(3)
B. Hatcher,coral(1)
K.-H. Wyrwoll,coral(1)
A. Eisenhauer,"coral(2),Coral(1)"
L. B. Collins,coral(1)
Z. R. Zhu,coral(1)
J. Zinke,"coral(6),Coral(1)"
A. Rountrey,coral(2)
M. Feng,coral(2)
S.-P. Xie,coral(2)
D. Dissard,coral(2)
K. Rankenburg,coral(2)
J.M. Lough,"coral(2),Coral(1)"
M.T. Mcculloch,"coral(3),Coral(1)"
B. R. Loveday,coral(2)
C. J. C. Reason,coral(2)
D. Kroon,"coral(3),Speleothem(1)"
W.-Chr. Dullo,coral(1)
Julio Sepúlveda,marine sediment(1)
Silvio Pantoja,"marine sediment(1),MarineSediment(5)"
Sébastien Bertrand,marine sediment(1)
Dante Figueroa,marine sediment(1)
Tania León,marine sediment(1)
Nicholas J. Drenzek,marine sediment(1)
Carina Lange,marine sediment(1)
M. N. Evans,"coral(1),marine sediment(1),Wood(1)"
R. G. Fairbanks,coral(1)
J. L. Rubenstone,coral(1)
D. Isono,marine sediment(1)
M. Yamamoto,"marine sediment(1),MarineSediment(1)"
T. Irino,marine sediment(1)
T. Oba,marine sediment(1)
M. Murayama,marine sediment(1)
T. Nakamura,marine sediment(1)
H. Kawahata,"marine sediment(1),coral(1)"
A.W. Tudhope,"coral(2),Coral(2)"
C.P. Chilcott,"coral(2),Coral(2)"
E.R. Cook,"coral(1),Coral(1)"
J. Chappell,"coral(1),Coral(1)"
R.M. Ellam,"coral(1),Coral(1)"
D.W. Lea,"coral(1),Coral(1)"
J.M Lough,coral(1)
G.B. Shimmield,"coral(2),Coral(2)"
E. A. Boyle,"marine sediment(1),MarineSediment(1)"
Steffen Hetzinger,"coral(1),Coral(1)"
Miriam Pfeiffer,"coral(2),Coral(1)"
Wolf-Christian Dullo,"coral(2),sclerosponge(2),Coral(1)"
Noel Keenlyside,coral(1)
Mojib Latif,coral(1)
Jens Zinke,"coral(1),tree(3)"
A. W. Tudhope,coral(1)
M. Jebb,"coral(1),Coral(1)"
A.E. Fallick,"coral(1),Coral(1)"
A.N. Dalgleish,"coral(1),Coral(1)"
Thomas D. Damassa,coral(1)
Julia E. Cole,coral(4)
Heidi R. Barnett,coral(1)
Toby R. Ault,coral(1)
Timothy R. Mcclanahan,coral(2)
C. D. Charles,coral(1)
Frank E. Urban,coral(1)
Jonathan T. Overpeck,coral(1)
Yair Rosenthal,"marine sediment(2),MarineSediment(9)"
J. E. Cole,coral(1)
Nobuko Nakamura,coral(1)
Hajime Kayanne,coral(1)
Hiroko Iijima,coral(1)
Swadhin K. Behera,coral(1)
Toshio Yamagata,coral(1)
K. Halimeda Kilbourne,"coral(1),Coral(1)"
Thierry Delcroix,coral(1)
Yves Gouriou,coral(7)
O. Timm,coral(1)
B. A. Thomassin,coral(1)
Joan Grimalt,marine sediment(1)
Eystein Jansen,"marine sediment(1),MarineSediment(5)"
A. Newton,"marine sediment(2),MarineSediment(2)"
R. Thunell,"marine sediment(4),MarineSediment(2)"
L. Stott,"marine sediment(4),MarineSediment(2)"
Wahyoe S. Hantoro,coral(1)
Manfred Mudelsee,coral(1)
Ana Moreno,marine sediment(1)
Ana Pérez,marine sediment(1)
Jaime Frigola,marine sediment(1)
Vanesa Nieto-Moreno,marine sediment(1)
Marta Rodrigo-Gámiz,marine sediment(1)
Belén Martrat,marine sediment(1)
Penélope González-Sampériz,marine sediment(1)
Mario Morellón,marine sediment(1)
Celia Martín-Puertas,marine sediment(1)
Juan Pablo Corella,marine sediment(1)
Ánchel Belmonte,marine sediment(1)
Carlos Sancho,marine sediment(1)
Isabel Cacho,"marine sediment(1),MarineSediment(6)"
Gemma Herrera,marine sediment(1)
Miquel Canals,"marine sediment(1),MarineSediment(1)"
Joan O. Grimalt,"marine sediment(1),MarineSediment(5)"
Francisco Jiménez-Espejo,marine sediment(1)
Francisca Martínez-Ruiz,marine sediment(1)
Teresa Vegas-Vilarrúbia,marine sediment(1)
Blas L. Valero-Garcés,marine sediment(1)
T. Felis,coral(1)
A. Suzuki,coral(1)
G. Lohmann,coral(1)
Alexandra Haase-Schramm,sclerosponge(2)
Florian Böhm,sclerosponge(2)
Anton Eisenhauer,sclerosponge(2)
Michael M. Joachimski,sclerosponge(2)
Bent Hansen,sclerosponge(2)
Joachim Reitner,sclerosponge(2)
Muriel Boiseau,coral(1)
Anne Juillet-Leclerc,coral(1)
Pascal Yiou,coral(1)
Bernard Salvat,coral(1)
Peter Isdale,coral(1)
Mireille Guillaume,coral(1)
Thomas P. Guilderson,"coral(1),Coral(1)"
Chantal Alibert,coral(1)
Leslie Kinsley,coral(1)
K.H. Wyrwoll,coral(1)
Jürgen Pätzold,coral(4)
Bernhard Schnetger,"coral(1),LakeSediment(1)"
Traute Crüger,coral(1)
M.-A. Sicre,marine sediment(2)
I. R. Hall,marine sediment(2)
J. Mignot,marine sediment(2)
M. Khodri,marine sediment(2)
U. Ezat,marine sediment(2)
M.-X. Truong,marine sediment(2)
J. Eiríksson,marine sediment(2)
K.-L. Knudsen,marine sediment(2)
Naomi Harada,"marine sediment(1),MarineSediment(2)"
Naokazu Ahagon,"marine sediment(1),MarineSediment(2)"
Masao Uchida,"marine sediment(1),MarineSediment(2)"
Masafumi Murayama,"marine sediment(1),MarineSediment(2)"
Jerry F. Mcmanus,"marine sediment(1),MarineSediment(1)"
Weichao Wu,marine sediment(1)
Wenbing Tan,marine sediment(1)
Liping Zhou,marine sediment(1)
Huan Yang,"marine sediment(1),Peat(1)"
Yunping Xu,marine sediment(1)
Michael C. Osborne,coral(2)
David A. Mucciarone,coral(3)
Ellen Druffel,coral(2)
Joan-Albert Sanchez-Cabeza,coral(2)
Kim M. Cobb,coral(2)
Intan S. Nurhati,coral(1)
Emanuele Di Lorenzo,coral(1)
Christopher S. Moses,coral(1)
Brad E. Rosenheim,"coral(1),sclerosponge(2),Sclerosponge(2)"
A. Timmermann,"marine sediment(2),MarineSediment(2)"
H.V. Mcgregor,"marine sediment(1),Coral(1)"
H. Goosse,marine sediment(1)
G. Leduc,marine sediment(1)
B. Martrat,"marine sediment(1),MarineSediment(2)"
J.A. Addison,marine sediment(1)
P.G. Mortyn,"marine sediment(1),MarineSediment(1)"
D.W. Oppo,"marine sediment(1),coral(1)"
M.S. Seidenkrantz,marine sediment(1)
M.A. Sicre,marine sediment(1)
S.J. Phipps,marine sediment(1)
K. Selvaraj,marine sediment(1)
K. Thirumalai,marine sediment(1)
H.L. Filipsson,marine sediment(1)
V. Ersek,marine sediment(1)
L.F. Vásquez-Bedoya,coral(1)
A.L. Cohen,coral(1)
P. Blanchon,coral(1)
Thomas J. Crowley,coral(2)
Harry Elderfield,"marine sediment(1),MarineSediment(3)"
I. Nick Mccave,"marine sediment(1),MarineSediment(2)"
Jim Salinger,coral(7)
Gerard M. Wellington,coral(9)
Thomas Felis,"coral(1),Coral(1)"
Yossi Loya,coral(2)
Maoz Fine,coral(1)
Ahmed H. Nawar,coral(1)
Oliver Timm,coral(1)
Steffen Podlech,coral(1)
Meixun Zhao,marine sediment(2)
Geoffrey Eglinton,marine sediment(1)
Gareth Read,marine sediment(1)
Arndt Schimmelmann,marine sediment(1)
Stefan Bagnato,coral(1)
Yaser Ahmed Moustafa,coral(1)
Guillaume Leduc,"marine sediment(1),MarineSediment(1)"
Caren T. Herbert,marine sediment(1)
Thomas Blanz,"marine sediment(1),MarineSediment(9)"
Philippe Martinez,marine sediment(1)
Ralph Schneider,"marine sediment(1),MarineSediment(1)"
Chi-Yue Huang,"marine sediment(1),MarineSediment(1)"
Chia-Chun Wang,marine sediment(1)
Ganjian Wei,marine sediment(1)
Mahyar Mohtadi,"marine sediment(1),MarineSediment(11)"
Oscar E. Romero,"marine sediment(1),MarineSediment(1)"
Jérôme Kaiser,marine sediment(1)
P. Demenocal,"marine sediment(1),MarineSediment(1)"
Rajeev Saraswat,"marine sediment(1),MarineSediment(1)"
David W. Lea,"marine sediment(1),MarineSediment(6)"
Rajiv Nigam,"marine sediment(1),MarineSediment(1)"
Andreas Mackensen,"marine sediment(1),MarineSediment(1)"
Dinesh K. Naik,"marine sediment(1),MarineSediment(1)"
F. Abrantes,"marine sediment(1),MarineSediment(1)"
S. Lebreiro,marine sediment(1)
T. Rodrigues,marine sediment(1)
I. Gil,marine sediment(1)
H. Bartels-Jónsdóttir,marine sediment(1)
P. Oliveira,marine sediment(1)
C. Kissel,marine sediment(1)
J.O. Grimalt,"marine sediment(1),MarineSediment(1)"
K. H. Kilbourne,coral(1)
T. M. Quinn,"coral(1),MarineSediment(1),Coral(2)"
R. Webb,coral(1)
T. Guilderson,coral(1)
J. Nyberg,coral(1)
A. Winter,coral(1)
Mitchell W. Colgan,coral(1)
Peter W. Glynn,coral(1)
Meaghan K. Gorman,coral(1)
Judson W. Partin,coral(1)
Guy Cabioch,coral(1)
James A. Austin,coral(1)
Bernard Pelletier,coral(1)
Valérie Ballu,coral(1)
Christophe Maes,coral(1)
Steffen Saustrup,coral(1)
A. E. Shevenell,"marine sediment(1),MarineSediment(1)"
A. E. Ingalls,"marine sediment(1),MarineSediment(1)"
E. W. Domack,"marine sediment(1),MarineSediment(1)"
C. Kelly,"marine sediment(1),MarineSediment(1)"
R. F. Spielhagen,marine sediment(1)
K. Werner,"marine sediment(1),MarineSediment(1)"
S. A. Sorensen,marine sediment(1)
K. Zamelczyk,marine sediment(1)
E. Kandiano,marine sediment(1)
G. Budeus,marine sediment(1)
K. Husum,marine sediment(1)
T. M. Marchitto,"marine sediment(1),MarineSediment(1)"
M. Hald,marine sediment(1)
Sophie Bonnet,"marine sediment(1),MarineSediment(5)"
Claude Hillaire-Marcel,"marine sediment(1),MarineSediment(8)"
Taoufik Radi,marine sediment(1)
Katrine Husum,"marine sediment(1),MarineSediment(2)"
Yali Sun,coral(1)
Min Sun,coral(1)
Typhoon Lee,coral(1)
Baofu Nie,coral(1)
Zhiwei Yu,coral(1)
R. Neukom,tree(1)
R. Villalba,tree(1)
"M. K\""Uttel",tree(1)
P. D. Jones,tree(1)
J.-C. Aravena,tree(1)
D. E. Black,tree(1)
D. A. Christie,tree(1)
A. Lara,tree(1)
M. Morales,tree(1)
C. Soliz-Gamboa,tree(1)
A. Srur,tree(1)
R. Urrutia,"tree(1),lake sediment(1)"
L Von Gunten,tree(1)
Raphael Neukom,tree(3)
Joëlle Gergis,tree(2)
David J. Karoly,tree(3)
Heinz Wanner,tree(3)
Mark Curran,tree(3)
Julie Elbert,"tree(3),lake sediment(1)"
Fidel González-Rouco,tree(2)
Andrew D. Moy,tree(3)
Ignacio Mundo,tree(3)
Christoph C. Raible,tree(3)
Tas Van Ommen,tree(3)
Tessa Vance,tree(3)
Ricardo Villalba,tree(3)
Jo�Lle Gergis,tree(1)
Fidel Gonz�Lez-Rouco,tree(1)
L. Von Gunten,lake sediment(2)
P. Appleby,lake sediment(1)
R. De Jong,lake sediment(1)
A. Maldonado,lake sediment(1)
Richard Wartenburger,lake sediment(1)
Lucien Von Gunten,"lake sediment(1),LakeSediment(1)"
Roberto Urrutia,lake sediment(1)
Daniela Fischer,lake sediment(1)
Marian Fujak,lake sediment(1)
Yvonne Hamann,lake sediment(1)
Nicolas David Greber,lake sediment(1)
M. E. Davis,"glacier ice(1),GlacierIce(2)"
V. S. Zagorodnov,"glacier ice(1),GlacierIce(1)"
I. M. Howat,"glacier ice(1),GlacierIce(1)"
V. N. Mikhalenko,"glacier ice(1),GlacierIce(1)"
P.- N. Lin,"glacier ice(1),GlacierIce(1)"
Shital P. Godad,MarineSediment(1)
Pothuri Divakar Naidu,MarineSediment(1)
Bjorn A. Malmgren,MarineSediment(1)
Belen Martrat,MarineSediment(3)
Patricia Jimenez-Amat,MarineSediment(1)
Rainer Zahn,MarineSediment(3)
T.D. Herbert,MarineSediment(1)
J.D. Schuffert,MarineSediment(1)
David Ledu,MarineSediment(1)
Andr̩ Rochon,MarineSediment(7)
Francesco Barletta,MarineSediment(1)
Guillaume St-Onge,"MarineSediment(1),LakeSediment(1)"
Wendy R. Eisner,LakeSediment(1)
Torbj̦Rn E. ȚRnqvist,LakeSediment(3)
Eduard A. Koster,LakeSediment(1)
Ole Bennike,LakeSediment(3)
Jacqueline F.N. Van Leeuwen,LakeSediment(2)
Marlow G. Pellatt,LakeSediment(2)
Michael J. Smith,LakeSediment(1)
Rolf W. Mathewes,LakeSediment(4)
Samantha L. Palmer,LakeSediment(1)
Aldo Shemesh,LakeSediment(1)
Gunhild Rosqvist,LakeSediment(1)
Miri Rietti-Shati,LakeSediment(1)
Lena Rubensdotter,LakeSediment(1)
Christian Bigler,LakeSediment(3)
Ruth Yam,LakeSediment(1)
Wibj̦Rn Karl̩N,LakeSediment(1)
Douglas J. Kennett,MarineSediment(1)
James P. Kennett,MarineSediment(1)
Jon M. Erlandson,MarineSediment(1)
Kevin G. Cannariato,MarineSediment(1)
Youbin Sun,MarineSediment(1)
Rong Xiang,MarineSediment(1)
Weiguo Liu,"MarineSediment(1),LakeSediment(1)"
Shu Gao,MarineSediment(1)
Kenneth L. Cole,LakeSediment(1)
Geng-Wu Liu,LakeSediment(1)
Ignacio A. Jara,"LakeSediment(1),Peat(1)"
Rewi M. Newnham,"LakeSediment(1),Peat(4)"
Marcus J. Vanderfoes,LakeSediment(1)
Courtney R. Foster,LakeSediment(1)
David J. Lowe,LakeSediment(1)
Janet M. Wilmshurst,"LakeSediment(1),Peat(6)"
Patricio I. Moreno,LakeSediment(1)
James A. Renwick,LakeSediment(1)
Aline M. Homes,LakeSediment(1)
Benoit S. Lecavalier,GlacierIce(1)
Glenn A. Milne,GlacierIce(1)
Bo M. Vinther,GlacierIce(1)
Lev Tarasov,GlacierIce(1)
Philippe Huybrechts,GlacierIce(1)
Denis Lacelle,GlacierIce(1)
Brittany Main,GlacierIce(1)
James Zheng,GlacierIce(1)
Jocelyne Bourgeois,GlacierIce(1)
Arthur S. Dyke,GlacierIce(1)
T. Nilsson,Peat(1)
John R. Leathwick,Peat(3)
Markus L. Heinrichs,LakeSediment(2)
Sylvia M. Peglar,LakeSediment(2)
H. John B. Birks,"LakeSediment(3),MarineSediment(1),Peat(1)"
Kurt M. Cuffey,GlacierIce(4)
Gary D. Clow,GlacierIce(2)
H. H. Birks,"Peat(1),LakeSediment(3)"
M. Welten,"Peat(3),LakeSediment(4)"
B. Mariscal,Peat(1)
C.S. Zatyko,Peat(1)
I. Juhasz,Peat(1)
Suemegi. P.,Peat(1)
E.J. De Valk,Peat(1)
Markus Czymzik,LakeSediment(1)
Willem G.M. Van Der Bilt,LakeSediment(2)
William J. D'Andrea,LakeSediment(3)
Jostein Bakke,LakeSediment(4)
Nicholas L. Balascio,LakeSediment(3)
Johannes P. Werner,LakeSediment(2)
Marthe Gjerde,LakeSediment(2)
Julian M. Szeicz,LakeSediment(3)
Glen M. Macdonald,LakeSediment(8)
Alejandra Duk-Rodkin,LakeSediment(3)
Kaarina Sarmaja-Korjonen,LakeSediment(2)
Heikki Sepp _,LakeSediment(9)
R. Gauthier,LakeSediment(1)
H. Sepp _,LakeSediment(23)
A. E. Bjune,LakeSediment(18)
R. J. Telford,LakeSediment(18)
H. J. B. Birks,"LakeSediment(20),Peat(1)"
S. Veski,LakeSediment(21)
Xiumei Li,LakeSediment(1)
Mingda Wang,LakeSediment(1)
Yuzhi Zhang,LakeSediment(1)
Li Lei,LakeSediment(1)
Juzhi Hou,LakeSediment(2)
Isla S. Castaneda,MarineSediment(4)
L. Micaela Smith,MarineSediment(3)
Gr̩Ta Bj̦Rk Kristj  Nsd _Ttir,MarineSediment(3)
John T. Andrews,MarineSediment(3)
S̩Bastien Garnaud,MarineSediment(1)
Patrick Lesueur,MarineSediment(1)
Martine Clet,MarineSediment(1)
Sandric Lesourd,MarineSediment(1)
Thierry Garlan,MarineSediment(1)
Robert Lafite,MarineSediment(1)
Jean-Claude Brun-Cottan,MarineSediment(1)
K Gajewski,LakeSediment(2)
R J Mott,LakeSediment(2)
J C Ritchie,LakeSediment(2)
K Hadden,LakeSediment(2)
Pol Tarrats,LakeSediment(1)
Blas Valero-Garc̩S,LakeSediment(1)
Miguel Ca̱Edo-Arg _Elles,LakeSediment(1)
Narc _S Prat,LakeSediment(1)
Maria Rieradevall,LakeSediment(1)
Pen̩Lope Gonz  Lez-Samp̩Riz,LakeSediment(1)
D. Voeltzel,Peat(2)
K. D. Bennett,LakeSediment(3)
C. W. Barnosky,LakeSediment(1)
Matthew Peros,LakeSediment(1)
Tara Paull,LakeSediment(1)
Rebecca Ravindra,LakeSediment(1)
Brandi Podritske,LakeSediment(1)
J. C. Ritchie,LakeSediment(8)
K.S. Shulija,Peat(1)
V.J. Lujanas,Peat(1)
Z.A. Kibilda,Peat(1)
J.J. Banys,Peat(1)
I.K. Genutiene,Peat(1)
K.L. Petersen,LakeSediment(1)
Elena A. Ilyashuk,LakeSediment(4)
Boris P. Ilyashuk,LakeSediment(4)
Dan Hammarlund,"LakeSediment(4),Wood(1)"
Donald R. Whitehead,LakeSediment(1)
Silvina Garralla,LakeSediment(3)
Keith Barber,LakeSediment(1)
Alastair Brown,LakeSediment(1)
Peter Langdon,LakeSediment(3)
Paul Hughes,LakeSediment(1)
G.L.  Jr. J A C O B S O N,LakeSediment(3)
B. Noryskiewicz,LakeSediment(1)
Stephen J. Brooks,"LakeSediment(7),Peat(1)"
K. Binka,LakeSediment(1)
T. Madeyska,LakeSediment(1)
B. Marciniak,LakeSediment(1)
K. Seroczynska,LakeSediment(1)
K. Wieckowski,LakeSediment(1)
Jeremiah P. Marsicek,LakeSediment(2)
Bryan Shuman,LakeSediment(2)
Simon Brewer,LakeSediment(2)
David R. Foster,LakeSediment(2)
W. Wyatt Oswald,LakeSediment(2)
Vera Markgraf,"Peat(1),LakeSediment(1)"
Snezhana Zhilich,LakeSediment(1)
Natalia Rudaya,LakeSediment(1)
Sergei Krivonogov,LakeSediment(1)
Larisa Nazarova,LakeSediment(3)
Dmitry Pozdnyakov,LakeSediment(1)
James M. White,LakeSediment(1)
H. F. Lamb,LakeSediment(4)
R. J. Mott,LakeSediment(2)
Yongsong Huang,LakeSediment(2)
M. Roesch,"Peat(1),LakeSediment(1)"
Gaute Velle,LakeSediment(6)
H.J.B. Birks,LakeSediment(7)
Endre Willassen,LakeSediment(3)
J. Weirich,Peat(2)
S. Bortenschlager,Peat(3)
H. Niemann,LakeSediment(1)
A. Stadnitskaia,LakeSediment(1)
S. B. Wirth,LakeSediment(1)
A. Gilli,LakeSediment(1)
F. S. Anselmetti,LakeSediment(1)
J. S. Sinninghe Damst̩,"LakeSediment(2),MarineSediment(1)"
S. Schouten,"LakeSediment(2),MarineSediment(2)"
E. C. Hopmans,LakeSediment(2)
M. F. Lehmann,LakeSediment(1)
Linda B. Brubaker,LakeSediment(4)
Les C. Cwynar,LakeSediment(10)
Ray W. Spear,LakeSediment(3)
A.S. Talma,Speleothem(1)
John C. Vogel,Speleothem(1)
Peter J. M _Ller,MarineSediment(6)
H̩L̬Ne Jett̩,LakeSediment(1)
Pierre J. H. Richard,LakeSediment(2)
Lindsay M. Upiter,LakeSediment(1)
Jesse C. Vermaire,LakeSediment(2)
R. Timothy Patterson,LakeSediment(1)
Carley A. Crann,LakeSediment(1)
Jennifer M. Galloway,LakeSediment(1)
Andrew L. Macumber,LakeSediment(1)
Lisa A. Neville,LakeSediment(1)
Graeme T. Swindles,LakeSediment(1)
Hendrik Falck,LakeSediment(1)
Helen M. Roe,LakeSediment(1)
Michael F. J. Pisaric,LakeSediment(1)
Cathy W. Barnosky,LakeSediment(2)
Louis J. Maher,LakeSediment(3)
Alayn Larouche,LakeSediment(2)
Pierre Richard,LakeSediment(2)
S. Occhietti,LakeSediment(1)
Olivia T Gibb,MarineSediment(1)
Sarah Steinhauer,MarineSediment(1)
Bianca Fr̩Chette,MarineSediment(6)
Y. Axford,LakeSediment(2)
J. P. Briner,LakeSediment(1)
D. R. Francis,LakeSediment(1)
G. H. Miller,LakeSediment(1)
I. R. Walker,LakeSediment(4)
A. P. Wolfe,LakeSediment(1)
Jaap S. Sinninghe Damst̩,"LakeSediment(4),MarineSediment(6)"
Jort Ossebaar,LakeSediment(1)
Dirk Verschuren,LakeSediment(1)
Jianyong Li,"LakeSediment(1),Peat(1)"
John Dodson,"LakeSediment(2),Peat(1)"
Hong Yan,"LakeSediment(1),Peat(1)"
Weiming Wang,"LakeSediment(1),Peat(1)"
James B. Innes,"LakeSediment(1),Peat(1)"
Yongqiang Zong,"LakeSediment(1),Peat(2)"
Xiaojian Zhang,"LakeSediment(1),Peat(1)"
Qinghai Xu,"LakeSediment(2),Peat(1)"
Jian Ni,"LakeSediment(1),Peat(1)"
Fengyan Lu,"LakeSediment(1),Peat(1)"
Nadia Solovieva,LakeSediment(2)
Pavel E. Tarasov,"LakeSediment(4),Peat(1)"
Glen Macdonald,LakeSediment(1)
Magaly Caniup  N,MarineSediment(3)
Carina B. Lange,MarineSediment(5)
J̩R̫Me Kaiser,MarineSediment(3)
Rolf Kilian,MarineSediment(3)
Helge W. Arz,MarineSediment(6)
Tania Le _N,MarineSediment(3)
Gesine Mollenhauer,MarineSediment(3)
Susana Sandoval,MarineSediment(3)
Ricardo De Pol-Holz,MarineSediment(6)
Julia Wellner,MarineSediment(3)
Ralf Tiedemann,MarineSediment(5)
J.L. De Beaulieu,Peat(1)
Richard G. Baker,LakeSediment(1)
Craig A. Chumbley,LakeSediment(1)
Kent L. Van Zant,LakeSediment(1)
R.E. Bailey,LakeSediment(1)
T.C. Hussey,LakeSediment(1)
Man-Ching Cheung,Peat(1)
Zhuo Zheng,Peat(1)
Zhonghui Liu,"Peat(1),LakeSediment(2)"
Jonathan C Aitchison,Peat(1)
G.A. King,LakeSediment(4)
A.K. Dyer,LakeSediment(1)
Patricia L. Fall,LakeSediment(2)
H. Nichols,LakeSediment(3)
Jonathan E Nichols,Peat(1)
Dorothy M Peteet,Peat(1)
Christopher M Moy,Peat(1)
Isla S Castaneda,Peat(1)
Alicia Mcgeachy,Peat(1)
Max Perez,Peat(1)
C.W. Barnosky,LakeSediment(1)
E.C. Grimm,LakeSediment(1)
H.E.  Jr. W R I G H T,LakeSediment(1)
John Mcandrews,LakeSediment(2)
Xianyu Huang,Peat(1)
Philip A Meyers,Peat(1)
Chengling Jia,Peat(1)
Min Zheng,Peat(1)
Jiantao Xue,Peat(1)
Xinxin Wang,Peat(1)
Shucheng Xie,"Peat(1),Speleothem(1)"
Anne Bjune,LakeSediment(1)
Nicolas Van Nieuwenhove,MarineSediment(1)
Christof Pearce,MarineSediment(2)
Mads Faurschou Knudsen,MarineSediment(1)
Hans R  Y,MarineSediment(1)
M. Polska-Jasiewicz Owa,Peat(1)
M. Latalowa,Peat(1)
P.J.H. Richard,LakeSediment(6)
G.E. Lasher,LakeSediment(1)
M.A. Kelly,LakeSediment(1)
E.C. Osterberg,LakeSediment(1)
J. Landis,LakeSediment(1)
G.C. Schellinger,LakeSediment(1)
A. Pfeiffer,LakeSediment(1)
E. Thompson,LakeSediment(1)
D.R. Francis,LakeSediment(1)
