coordinates,publication,filename,authorName,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Christopher Johnson,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Peter W. Swarzenski,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Andrew S. Cohen,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,James M. Russell,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[44.3, 11.955, -869]",PAGES2kv2,Afr-P178-15P.Tierney.2015.lpd,J. E. Tierney,marine sediment,inferred,"median calibrated ssts from tex86, using BAYSPAR-NRS (Tierney & Tingley, 2014, GCA)",NA,Sea Surface,Temperature,degC,1.0
"[44.3, 11.955, -869]",PAGES2kv2,Afr-P178-15P.Tierney.2015.lpd,C. C. Ummenhofer,marine sediment,inferred,"median calibrated ssts from tex86, using BAYSPAR-NRS (Tierney & Tingley, 2014, GCA)",NA,Sea Surface,Temperature,degC,1.0
"[44.3, 11.955, -869]",PAGES2kv2,Afr-P178-15P.Tierney.2015.lpd,P. B. Demenocal,marine sediment,inferred,"median calibrated ssts from tex86, using BAYSPAR-NRS (Tierney & Tingley, 2014, GCA)",NA,Sea Surface,Temperature,degC,1.0
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.DahlJensen.1999.lpd,Dorthe Dahl-Jensen,borehole,inferred,surface temperature,NA,Ice Surface,Temperature,degC,1.0
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.DahlJensen.1999.lpd,Vin Morgan,borehole,inferred,surface temperature,NA,Ice Surface,Temperature,degC,1.0
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.DahlJensen.1999.lpd,Alan Elcheikh,borehole,inferred,surface temperature,NA,Ice Surface,Temperature,degC,1.0
