dataset name,compilation name,archiveType,predicted archiveType,TSid,variableType,variableName,predicted proxyObsType,remainder(variableName),proxyObservationType,final proxyValue,proxyValue from,units,hasProxySystem,ProxySystem.SensorType,interpretation/variable,interpretation/variableDetail
H214.Samson.2005.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,Rij3WllVVvV,measured,planktic.d18O,d18O,planktic.,NA,d18O,2,permil,NA,NA,NA,NA
HeshangCave.Wang.2018.lpd,Temp12k1_0_1,Speleothem,Speleothem,WEB7baf4af4,measured,RAN15,NA,NA,NA,RAN15,3,NA,NA,NA,NA,NA
HjortSo.Wagner.2008.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB505c7575,measured,TOC,NA,NA,NA,TOC,3,percent,NA,NA,NA,NA
HjortSo.Wagner.2008.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEBa759aac1,measured,TN,NA,NA,NA,TN,3,percent,NA,NA,NA,NA
HjortSo.Wagner.2008.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB2e1df605,measured,Sulfur,Sulfur,NA,NA,Sulfur,2,percent,NA,NA,NA,NA
HjortSo.Wagner.2008.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB043172b2,measured,C/N,C/N,NA,NA,C/N,2,unitless,NA,NA,NA,NA
HjortSo.Wagner.2008.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB6caee137,measured,D50,NA,NA,NA,D50,3,mcm,NA,NA,T,air@surface
JamesRossIsland.Mulvaney.2012.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEB54d1b98b,measured,d2H,dD,NA,NA,dD,2,permil,NA,NA,NA,NA
JPC67.Bertrand.2017.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,WEBa6720d3d,measured,GrainSizeMode,NA,NA,NA,GrainSizeMode,3,mcm,NA,NA,NA,NA
KinderlinskayaCave.Baker.2017.lpd,Temp12k1_0_1,Speleothem,Speleothem,WEB6f612252,measured,d18O,d18O,NA,NA,d18O,2,permil,NA,NA,T,air@surface
Komosomolskaia.Ciais.1992.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEBa6225aa4,measured,d2H,dD,NA,NA,dD,2,permil,NA,NA,NA,NA
KT05_7_PC_02.Kawahata.2009.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RSeePko9m7q,measured,DBD,NA,NA,NA,DBD,3,g/cm3,NA,NA,NA,NA
KT05_7_PC_02.Kawahata.2009.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RzUrKyzcEoV,measured,TOC,NA,NA,NA,TOC,3,percent,NA,NA,NA,NA
KT05_7_PC_02.Kawahata.2009.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RtvYSzqfM32,measured,CaCO3,CaCO3,NA,NA,CaCO3,2,percent,NA,NA,NA,NA
KT05_7_PC_02.Kawahata.2009.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RWShShxDbGs,measured,Uk37,Uk37,NA,NA,Uk37,2,NA,NA,NA,NA,NA
KT05_7_PC_02.Kawahata.2009.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RGBcm2lGtle,measured,C37.concentration,37:2AlkenoneConcentration,NA,NA,37:2AlkenoneConcentration,2,microg/g,NA,NA,NA,NA
M35003_4.R_hlemann.1999.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RdO30eYawYJ,measured,C37.concentration,37:2AlkenoneConcentration,NA,NA,37:2AlkenoneConcentration,2,g,NA,NA,NA,NA
M35003_4.R_hlemann.1999.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RYS26m1CzsQ,measured,C37.concentration,37:2AlkenoneConcentration,NA,NA,37:2AlkenoneConcentration,2,g,NA,NA,NA,NA
M35003_4.R_hlemann.1999.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RAYCTpSxmsZ,measured,planktic.d18O,d18O,planktic.,NA,d18O,2,permil,NA,NA,NA,NA
M35003_4.R_hlemann.1999.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,R8mdEg5MmpL,measured,Uk37,Uk37,NA,NA,Uk37,2,unitless,NA,NA,NA,NA
M77_2_056_5.Neurnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RVcr9moYKJN,measured,d13C,d13C,NA,NA,d13C,2,permil,NA,NA,NA,NA
M77_2_056_5.Neurnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RsQEXaxcKa5,measured,d18O,d18O,NA,NA,d18O,2,permil,NA,NA,NA,NA
M77_2_056_5.Neurnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,R0xUv90tyOl,measured,planktic.d13C,d13C,planktic.,NA,d13C,2,permil,NA,NA,NA,NA
M77_2_056_5.Neurnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RwsnEN3SLKp,measured,planktic.d18O,d18O,planktic.,NA,d18O,2,permil,NA,NA,NA,NA
M77_2_056_5.Neurnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RsGueF5Ezuc,measured,planktic.MgCa,Mg/Ca,planktic.,NA,Mg/Ca,2,mmol/mol,NA,NA,NA,NA
M77_2_056_5.Neurnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RksmEMYYOe1,measured,planktic.d13C,d13C,planktic.,NA,d13C,2,permil,NA,NA,NA,NA
M77_2_056_5.Neurnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,R2iVpGJkJyQ,measured,planktic.d18O,d18O,planktic.,NA,d18O,2,permil,NA,NA,NA,NA
M77_2_056_5.Neurnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RSQHbqgrxv7,measured,planktic.MgCa,Mg/Ca,planktic.,NA,Mg/Ca,2,mmol/mol,NA,NA,NA,NA
M77_2_059_1.N_rnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,Rf00AhLTRUz,measured,d13C,d13C,NA,NA,d13C,2,permil,NA,NA,NA,NA
M77_2_059_1.N_rnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RafBRfnToPz,measured,d18O,d18O,NA,NA,d18O,2,permil,NA,NA,NA,NA
M77_2_059_1.N_rnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RzhpliO9GGx,measured,planktic.d13C,d13C,planktic.,NA,d13C,2,permil,NA,NA,NA,NA
M77_2_059_1.N_rnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,R9NFVS4Uv9F,measured,planktic.d18O,d18O,planktic.,NA,d18O,2,permil,NA,NA,NA,NA
M77_2_059_1.N_rnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RmbRnFep4Ix,measured,planktic.MgCa,Mg/Ca,planktic.,NA,Mg/Ca,2,mmol/mol,NA,NA,NA,NA
M77_2_059_1.N_rnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,ReU0qGJOKSo,measured,planktic.d13C,d13C,planktic.,NA,d13C,2,permil,NA,NA,NA,NA
M77_2_059_1.N_rnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RHFF24r2oUR,measured,planktic.d18O,d18O,planktic.,NA,d18O,2,permil,NA,NA,NA,NA
M77_2_059_1.N_rnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,R3TadP7WNjA,measured,planktic.MgCa,Mg/Ca,planktic.,NA,Mg/Ca,2,mmol/mol,NA,NA,NA,NA
M77_2_059_1.N_rnberg.2015.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RbIuRfn9Vxz,measured,Uk37,Uk37,NA,NA,Uk37,2,NA,NA,NA,NA,NA
