dataset name,compilation name,archiveType,predicted archiveType,TSid,variableType,variableName,predicted Inf Var Type,remainder(variableName),inferred Var Type,final Inf Var Type,inf Var from,units,interpretation/variable,interpretation/variableDetail
HU87033_87018PC.Andrews.1999.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_HU87033_87018PC_age_median,NA,age,Age,NA,NA,Age,2,cal years BP,NA,NA
HU87033_87018PC.Andrews.1999.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_HU87033_87018PC_age_original,NA,ageOriginal,NA,NA,NA,ageOriginal,3,BP,NA,NA
HU87033_87018PC.Andrews.1999.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_HU87033_87018PC_d18o_pachyderma,NA,d18o_pachyderma,NA,NA,NA,d18o_pachyderma,3,per mil vs PDB,NA,NA
HU87033_87018PC.Andrews.1999.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_HU87033_87018PC_d13c_pachyderma,NA,d13c_pachyderma,NA,NA,NA,d13c_pachyderma,3,per mil vs PDB,NA,NA
HU87033_87018PC.Andrews.1999.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_HU87033_87018PC_d18o_pachyderma_SST_from_d18o_pachyderma,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
HU87033_87018PC.Andrews.1999.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_HU87033_87018PC_age_medianMedianBacon,NA,ageMedianBacon,NA,NA,NA,ageMedianBacon,3,cal years BP,NA,NA
HU90.deVernal.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYT57YTNJRB,NA,age,Age,NA,NA,Age,2,BP,NA,NA
HU90.deVernal.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTGYEFR1T5,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
HU90.deVernal.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTCN1ME3Q4,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
HU90.deVernal.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTIEA1VAI0,NA,salinity,Salinity,NA,NA,Salinity,2,psu,S,SSS
HU90.deVernal.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTV7RQ4QM8,NA,Sea_Ice_months,NA,NA,NA,Sea_Ice_months,3,months/year,ICE,sea@surface
HU90.deVernal.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYT80ELRHHX,NA,Sea_Ice_conc,NA,NA,NA,Sea_Ice_conc,3,0-10,ICE,sea@surface
HU90.deVernal.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTOFPCLRR6,NA,productivity,NA,NA,NA,productivity,3,gcm2,NA,NA
HU90.deVernal.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTJFHDS9RQ,NA,A,NA,NA,NA,A,3,NA,NA,NA
HU90_013_013.Hillaire-Marcel.1994.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_HU90_013_013_depth,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
HU90_013_013.Hillaire-Marcel.1994.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_HU90_013_013_age_median,NA,age,Age,NA,NA,Age,2,cal years BP,NA,NA
HU90_013_013.Hillaire-Marcel.1994.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_HU90_013_013_age_original,NA,ageOriginal,NA,NA,NA,ageOriginal,3,BP,NA,NA
HU90_013_013.Hillaire-Marcel.1994.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_HU90_013_013_d18o_pachyderma,NA,d18o_pachyderma,NA,NA,NA,d18o_pachyderma,3,permil,NA,NA
HU90_013_013.Hillaire-Marcel.1994.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_HU90_013_013_d18o_pachyderma_SST_from_d18o_pachyderma,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
HU90_013_013.Hillaire-Marcel.1994.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_HU90_013_013_age_medianMedianBacon,NA,ageMedianBacon,NA,NA,NA,ageMedianBacon,3,cal years BP,NA,NA
HU91-039-008.Levac.2001.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTQU2B7IAL,NA,age,Age,NA,NA,Age,2,BP,NA,NA
HU91-039-008.Levac.2001.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTMA7BUB5E,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
HU91-039-008.Levac.2001.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYT4E9JNK09,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
HU91-039-008.Levac.2001.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYT88LYTO1V,NA,salinity,Salinity,NA,NA,Salinity,2,psu,S,SSS
HU91-039-008.Levac.2001.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTAIW6PX92,NA,Sea_Ice_months,NA,NA,NA,Sea_Ice_months,3,months/year,ICE,sea@surface
HU91-039-008.Levac.2001.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTPR79CA49,NA,Sea_Ice_conc,NA,NA,NA,Sea_Ice_conc,3,0-10,ICE,sea@surface
HU91-039-008.Levac.2001.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTIS9387GZ,NA,productivity,NA,NA,NA,productivity,3,gcm2,NA,NA
HU91-039-008.Levac.2001.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTGG2I8GXG,NA,A,NA,NA,NA,A,3,unitless,NA,NA
Hudson.Clegg.2011.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYTXYD0BOI5,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
Hudson.Clegg.2011.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYT53ZO257H,NA,depth,NA,NA,NA,depth,3,mm,NA,NA
Hudson.Clegg.2011.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYTPRMXO5UX,NA,age,Age,NA,NA,Age,2,BP,NA,NA
Hudson.Clegg.2011.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYTI3HL2Q73,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
HulunLake.Wen.2009.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,LPDc4757948,NA,Pann,NA,NA,NA,Pann,3,mm,M,NA
HulunLake.Wen.2009.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RAPvNTxO2OB,inferred,year,Year,NA,year,year,1,AD,NA,NA
HulunLake.Wen.2009.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RIXE0AXcnQC,inferred,age,Age,NA,age,age,1,BP,NA,NA
HulunLake.Wen.2009.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,LPD25ffc1d5,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
HulunLake.Wen.2009.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,LPD50ce7982,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
HulunLake.Wen.2009.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,LPD7d6219d0,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
HumberPond3.McAndrews.1989.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lq2uexfgdP,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
HumberPond3.McAndrews.1989.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L50bpdlq4P,NA,age,Age,NA,NA,Age,2,yr 14C BP,NA,NA
HumberPond3.McAndrews.1989.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lxkkb370mP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
HumberPond3.McAndrews.1989.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lz9tfayjwP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
HumberPond3.McAndrews.1989.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L1araoamkP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
HumberPond3.McAndrews.1989.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L9li5gg0hP,NA,precipitation,NA,NA,NA,precipitation,3,mm,P,@surface
HumberPond5.McAndrews.1989.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L8o906f20P,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
HumberPond5.McAndrews.1989.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lu1c6kaimP,NA,age,Age,NA,NA,Age,2,yr 14C BP,NA,NA
HumberPond5.McAndrews.1989.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2LrtejenybP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
HumberPond5.McAndrews.1989.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lk4xoowpzP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
HumberPond5.McAndrews.1989.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lbkd197eqP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
HumberPond5.McAndrews.1989.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lnjb6hznwP,NA,precipitation,NA,NA,NA,precipitation,3,mm,P,@surface
HurlegLake.Zhao.2013.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEBd63d3894,NA,age,Age,NA,NA,Age,2,BP,NA,NA
HurlegLake.Zhao.2013.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB857d0da0,inferred,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Hvitarvatn.Larsen.2013.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYTFCVK2Q33,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
Hvitarvatn.Larsen.2013.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYTTGP3F9UI,NA,age,Age,NA,NA,Age,2,BP,NA,NA
Hvitarvatn.Larsen.2013.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYTK4IN4ZNI,NA,BSi,NA,NA,NA,BSi,3,percent,NA,NA
Hypkana.Hajkova.2016.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,REl6xuvLmLP,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
Hypkana.Hajkova.2016.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,R2Hz1NpLSwv,NA,age,Age,NA,NA,Age,2,BP,NA,NA
Hypkana.Hajkova.2016.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RMZxFXZy3Ew,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Hypkana.Hajkova.2016.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,Rdgk1c1CZ4U,NA,uncertainty,NA,NA,NA,uncertainty,3,NA,NA,NA
Hypkana.Hajkova.2016.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RzqvC3vCdNw,NA,uncertainty,NA,NA,NA,uncertainty,3,NA,NA,NA
Hypkana.Hajkova.2016.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RgzcbSGf3b9,NA,reliable,NA,NA,NA,reliable,3,NA,NA,NA
Hypkana.Hajkova.2016.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RL6tquKmLxB,NA,Commentregardingreliability1,NA,NA,NA,Commentregardingreliability1,3,NA,NA,NA
Igaliku.Massa.2012.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYTBCRSU6FT,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
Igaliku.Massa.2012.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYTVFW5POXH,NA,age,Age,NA,NA,Age,2,BP,NA,NA
Igaliku.Massa.2012.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYT03KZQAVB,NA,pollen_count,NA,NA,NA,pollen_count,3,g/cm2/yr,T,air@surface
Iglutalik.Kerwin.2004.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L5mjdzgn2P,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
Iglutalik.Kerwin.2004.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2LnejnfyfuP,NA,age,Age,NA,NA,Age,2,yr 14C BP,NA,NA
Iglutalik.Kerwin.2004.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L3288iu79P,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Iglutalik.Kerwin.2004.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Ljdf1685dP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Iglutalik.Kerwin.2004.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L3khz4mxcP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Iglutalik.Kerwin.2004.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lzgqi66opP,NA,precipitation,NA,NA,NA,precipitation,3,mm,P,@surface
Indian.Bjorck.1985.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L3jib4gq3P,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
Indian.Bjorck.1985.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lhyhw97tbP,NA,age,Age,NA,NA,Age,2,yr 14C BP,NA,NA
Indian.Bjorck.1985.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L821j07cwP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Indian.Bjorck.1985.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lywebu2etP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Indian.Bjorck.1985.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L73grsf22P,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Indian.Bjorck.1985.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Ldizl0tj2P,NA,precipitation,NA,NA,NA,precipitation,3,mm,P,@surface
IOW225514BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225514_depth,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
IOW225514BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225514_age_median,NA,ageDuplicate,NA,NA,NA,ageDuplicate,3,cal years BP,NA,NA
IOW225514BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225514_age_original,NA,ageOriginal,NA,NA,NA,ageOriginal,3,BP,NA,NA
IOW225514BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225514_uk37,NA,Uk37,NA,NA,NA,Uk37,3,unitless,NA,NA
IOW225514BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225514_uk37_SST_from_uk37,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
IOW225514BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225514_age_medianMedianBacon,NA,ageMedianBacon,NA,NA,NA,ageMedianBacon,3,cal years BP,NA,NA
IOW225514BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225514_age,NA,age,Age,NA,NA,Age,2,BP,NA,NA
IOW225517BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225517_depth,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
IOW225517BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225517_age_median,NA,ageDuplicate,NA,NA,NA,ageDuplicate,3,cal years BP,NA,NA
IOW225517BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225517_age_original,NA,ageOriginal,NA,NA,NA,ageOriginal,3,BP,NA,NA
IOW225517BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225517_uk37,NA,Uk37,NA,NA,NA,Uk37,3,unitless,NA,NA
IOW225517BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225517_uk37_SST_from_uk37,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
IOW225517BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225517_age_medianMedianBacon,NA,ageMedianBacon,NA,NA,NA,ageMedianBacon,3,cal years BP,NA,NA
IOW225517BAY.Emeis.2003.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_IOW225517_age,NA,age,Age,NA,NA,Age,2,BP,NA,NA
Irvin.Cushing.1982.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L6n2lz3b6P,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
Irvin.Cushing.1982.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lwv5zgv3iP,NA,age,Age,NA,NA,Age,2,yr 14C BP,NA,NA
Irvin.Cushing.1982.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Ltylc7shoP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Irvin.Cushing.1982.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L94hlbgm5P,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Irvin.Cushing.1982.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L7vpov9ueP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Irvin.Cushing.1982.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lmbsvr891P,NA,precipitation,NA,NA,NA,precipitation,3,mm,P,@surface
Isbenttjonn.Seppa.2009.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYT7CFUPDKG,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
Isbenttjonn.Seppa.2009.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYT7LXK0UGO,NA,age,Age,NA,NA,Age,2,BP,NA,NA
Isbenttjonn.Seppa.2009.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYTV6QSJN0Y,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Isokaerret.Asplund.1989.lpd,Temp12k1_0_1,Peat,Peat,R6U2mdgtE11,NA,age,Age,NA,NA,Age,2,BP,NA,NA
Isokaerret.Asplund.1989.lpd,Temp12k1_0_1,Peat,Peat,RByqlP8Z1Dv,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
Isokaerret.Asplund.1989.lpd,Temp12k1_0_1,Peat,Peat,Rgei1mhJ3vF,NA,GDD5,NA,NA,NA,GDD5,3,GDD5,GDD,air@surface
Isokaerret.Asplund.1989.lpd,Temp12k1_0_1,Peat,Peat,RiKlOP798kB,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Isokaerret.Asplund.1989.lpd,Temp12k1_0_1,Peat,Peat,RXzd4kwZ1XC,NA,temperatureComposite,NA,NA,NA,temperatureComposite,3,degC,T,air@surface
Isokaerret.Asplund.1989.lpd,Temp12k1_0_1,Peat,Peat,RF3IFPogbcL,NA,precipitation,NA,NA,NA,precipitation,3,mm,M,precip@surface
Isokaerret.Asplund.1989.lpd,Temp12k1_0_1,Peat,Peat,R6bcAqybDA7,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Jake.Kerwin.2005.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYTW5HXG2LK,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
Jake.Kerwin.2005.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYTVS1ZQZV7,NA,age,Age,NA,NA,Age,2,BP,NA,NA
Jake.Kerwin.2005.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYT8O5BE482,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Jake.Kerwin.2005.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYT0AKT9AEJ,NA,error,NA,NA,NA,error,3,degC,NA,NA
JamesRossIsland.Mulvaney.2012.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEBb72433b0,measured,depth,NA,NA,NA,depth,3,m,NA,NA
JamesRossIsland.Mulvaney.2012.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEB6607f37f,inferred,age,Age,NA,NA,Age,2,BP,NA,NA
JinchueanBog.Yu.2013.lpd,Temp12k1_0_1,Peat,Peat,WEB40546116,inferred,age,Age,NA,NA,Age,2,BP,NA,NA
JinchueanBog.Yu.2013.lpd,Temp12k1_0_1,Peat,Peat,WEBefeba8f7,inferred,ageMin,NA,NA,NA,ageMin,3,BP,NA,NA
JinchueanBog.Yu.2013.lpd,Temp12k1_0_1,Peat,Peat,WEB70c87e7c,inferred,ageDuplicate,NA,NA,NA,ageDuplicate,3,BP,NA,NA
JinchueanBog.Yu.2013.lpd,Temp12k1_0_1,Peat,Peat,WEB222fb2bd,inferred,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
JinchueanBog.Yu.2013.lpd,Temp12k1_0_1,Peat,Peat,WEB925aa804,inferred,uncertaintyHigh,NA,NA,NA,uncertaintyHigh,3,degC,NA,NA
JinchueanBog.Yu.2013.lpd,Temp12k1_0_1,Peat,Peat,WEBb1cb6234,inferred,uncertaintyLow,NA,NA,NA,uncertaintyLow,3,degC,NA,NA
JM01-1199.Hald.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTBM5K9SFU,NA,age,Age,NA,NA,Age,2,BP,NA,NA
JM01-1199.Hald.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTFYIETUXB,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
JM96-1207.Solignac.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTW95F7RGA,NA,age,Age,NA,NA,Age,2,BP,NA,NA
JM96-1207.Solignac.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTTRBVW5B9,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
JM96-1207.Solignac.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYT43820D4M,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
JM96-1207.Solignac.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTOLB2EXTT,NA,salinity,Salinity,NA,NA,Salinity,2,psu,S,SSS
JM96-1207.Solignac.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTBH0FCZ00,NA,Sea_Ice_months,NA,NA,NA,Sea_Ice_months,3,months/year,ICE,sea@surface
JM96-1207.Solignac.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYT5F155LRB,NA,Sea_Ice_conc,NA,NA,NA,Sea_Ice_conc,3,0-10,ICE,sea@surface
JM96-1207.Solignac.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTBG5CAH38,NA,productivity,NA,NA,NA,productivity,3,gcm2,NA,NA
JM96-1207.Solignac.2013.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYT1CE04SXY,NA,D,NA,NA,NA,D,3,NA,NA,NA
JPC42.Caniupan.2014.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,WEB32845b9d,NA,core,NA,NA,NA,core,3,unitless,NA,NA
JPC42.Caniupan.2014.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,WEB8270fb9f,NA,age,Age,NA,NA,Age,2,BP,NA,NA
JPC42.Caniupan.2014.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,WEB387ae876,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
JPC67.Bertrand.2017.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,WEB750f9ad2,inferred,age,Age,NA,NA,Age,2,BP,NA,NA
JPC67.Bertrand.2017.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,WEB32a51a83,inferred,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
JR01.Fortin.2017.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYT2ZCZWQA0,NA,age,Age,NA,NA,Age,2,BP,NA,NA
JR01.Fortin.2017.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,PYT6CZBVE1E,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
JR01Chironomid.Fortin.2017.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,Rgxi4QgvKRz,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
JR01Chironomid.Fortin.2017.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RckFvc0ubXz,NA,age,Age,NA,NA,Age,2,Calibrated,NA,NA
JR01Chironomid.Fortin.2017.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RhF20RCQseU,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,lake@surface
JR01Chironomid.Fortin.2017.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RTD4wvv9taR,NA,uncertaintyHigh,NA,NA,NA,uncertaintyHigh,3,unitless,NA,NA
JR01Chironomid.Fortin.2017.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RpEy6q0ZesU,NA,uncertaintyLow,NA,NA,NA,uncertaintyLow,3,unitless,NA,NA
JR01Chironomid.Fortin.2017.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RE9U8NtLkbg,NA,ReliabIeYN1,NA,NA,NA,ReliabIeYN1,3,unitless,NA,NA
JR244_GC528.Roberts.2016.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_JR244_GC528_depth,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
JR244_GC528.Roberts.2016.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_JR244_GC528_age_median,NA,ageDuplicate,NA,NA,NA,ageDuplicate,3,cal years BP,NA,NA
JR244_GC528.Roberts.2016.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_JR244_GC528_age_original,NA,ageOriginal,NA,NA,NA,ageOriginal,3,BP,NA,NA
JR244_GC528.Roberts.2016.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_JR244_GC528_uk37,NA,Uk37,NA,NA,NA,Uk37,3,unitless,NA,NA
JR244_GC528.Roberts.2016.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_JR244_GC528_uk37_SST_from_uk37,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
JR244_GC528.Roberts.2016.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_JR244_GC528_age_medianMedianBacon,NA,ageMedianBacon,NA,NA,NA,ageMedianBacon,3,cal years BP,NA,NA
JR244_GC528.Roberts.2016.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_JR244_GC528_age,NA,age,Age,NA,NA,Age,2,BP,NA,NA
JR51GC_35.Bendle.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_JR51GC_35_depth,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
JR51GC_35.Bendle.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_JR51GC_35_age_median,NA,ageDuplicate,NA,NA,NA,ageDuplicate,3,cal years BP,NA,NA
JR51GC_35.Bendle.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_JR51GC_35_age_original,NA,ageOriginal,NA,NA,NA,ageOriginal,3,BP,NA,NA
